"","x"
"1",3.4
"2",3
"3",3.5
"4",3.4
"5",3.9
"6",5.4
"7",6.6
"8",7.2
"9",5.1
"10",4
"11",3.5
"12",3.6
"13",3.4
"14",2.9
"15",3.3
"16",3.6
"17",3.6
"18",3.9
"19",5.3
"20",6.5
"21",7.2
"22",5.5
"23",3.8
"24",3.8
"25",3.7
"26",3.2
"27",3.8
"28",4.1
"29",4.6
"30",6.3
"31",7.5
"32",8.3
"33",6.2
"34",4.6
"35",3.9
"36",4
"37",4
"38",3.4
"39",4.1
"40",4.4
"41",5.1
"42",6.7
"43",7.8
"44",8.7
"45",6.6
"46",5.1
"47",4.4
"48",4.4
"49",4.4
"50",3.8
"51",4.2
"52",4.3
"53",5.2
"54",7
"55",8.5
"56",9.8
"57",7.6
"58",6.1
"59",5.2
"60",5.1
"61",5.3
"62",4.6
"63",5
"64",5.6
"65",6.8
"66",8.5
"67",10.2
"68",11.2
"69",8.3
"70",6.5
"71",5.4
"72",5.5
"73",5.3
"74",4.5
"75",5.1
"76",5.8
"77",6.7
"78",8.7
"79",10.5
"80",11.3
"81",8.9
"82",7.1
"83",5.9
"84",5.8
"85",5.8
"86",4.9
"87",5.7
"88",6.5
"89",7.2
"90",9.4
"91",11.3
"92",12
"93",9.8
"94",7.6
"95",6.7
"96",6.8
"97",7.1
"98",5.9
"99",6.9
"100",7.4
"101",8.4
"102",11
"103",13
"104",13.7
"105",11.6
"106",9.2
"107",8.3
"108",8.1
"109",8.2
"110",7.4
"111",8.6
"112",8.9
"113",10.4
"114",12.7
"115",14.2
"116",15.1
"117",12.3
"118",9.5
"119",8
"120",7.3
"121",6.9
"122",5.8
"123",6.7
"124",7.1
"125",8.8
"126",11.2
"127",12.9
"128",13.9
"129",11.9
"130",9.9
"131",8.7
"132",8.8
"133",9.2
"134",8
"135",9.6
"136",9.9
"137",11.9
"138",14.4
"139",16.6
"140",16.9
"141",14.8
"142",12.9
"143",11.3
"144",10.9
"145",11.2
"146",8.9
"147",10.4
"148",11.1
"149",13.3
"150",16.4
"151",18.8
"152",19.8
"153",17.3
"154",13.9
"155",12.9
"156",12.6
"157",12.8
"158",11.4
"159",12.9
"160",13.5
"161",15.2
"162",18.9
"163",21.5
"164",22.6
"165",20.3
"166",16.4
"167",15.2
"168",15
"169",15.5
"170",13.6
"171",16.3
"172",16.2
"173",18.6
"174",21.8
"175",24.2
"176",24.2
"177",21.3
"178",18.6
"179",16.8
"180",17.5
"181",16.5
"182",14.6
"183",16.7
"184",16.3
"185",19
"186",23.7
"187",26.4
"188",27.3
"189",23.4
"190",19.2
"191",17.3
"192",16.6
"193",15.3
