IND_PROD	»ндекс промышленного производства
TRANS_RAILLOAD	Freight loading on railway transport
I	»нвестиции в основной капитал
RUR_USD	ќфициальный курс доллара —Ўј
RUR_EUR	ќфициальный курс евро по отношению к рублю
RETAIL_SALES	1.13. ќборот розничной торговли
USLUGI	1.14. ќбъем платных услуг населению
CPI	»ндекс потребительских цен
PROFIT	—альдированный финансовый результат
CORP_DEBT	 редиторска€ задолженность
WAGE	—реднемес€чна€ номинальна€ начисленна€ заработна€ плата одного работника
PROD_E	Ёлектроэнерги€, млрд. к¬тЈч / Electricity, bln kWh
