	Год Year	Кварталы / Quarters	Янв. Jan.	Фев. Feb.	Март Mar.	Апр. Apr.	Май May	Июнь June	Июль July	Август Aug.	Сент. Sept.	Окт. Oct.	Нояб. Nov.	Дек. Dec.			
		I	II	III	IV												
"1.8. Объем работ по виду деятельности ""Строительство"" (в фактических ценах соответствующих лет), млрд.рублей / Volume of work performed by economic activity ""Construction"" (at current prices of corresponding years), bln rubles"																	
1999	307,8	50,9	69,1	91,4	96,4	14,1	16,3	20,5	19,6	22,0	27,5	29,3	29,1	33,0	30,9	29,9	35,6
2000	503,8	78,8	113,6	151,7	159,7	21,6	25,5	31,7	32,1	36,5	45,0	48,1	50,0	53,6	51,8	51,1	56,8
2001	703,8	116,9	160,9	210,9	215,1	32,7	38,0	46,2	46,4	52,1	62,4	66,1	71,1	73,7	69,9	68,7	76,5
2002	831,0	136,3	188,8	251,2	254,7	39,2	43,9	53,2	54,0	61,3	73,5	78,6	85,0	87,6	82,1	81,2	91,4
2003	1042,7	172,7	239,6	313,0	317,4	49,9	55,6	67,2	69,1	78,1	92,4	98,2	105,6	109,2	102,5	98,9	116,0
2004	1313,6	217,9	307,0	384,1	404,6	62,3	70,3	85,3	88,7	100,4	117,9	120,4	130,0	133,7	124,8	127,6	152,2
2005	1754,4	280,0	398,9	521,3	554,2	80,9	89,9	109,2	114,9	129,1	154,9	165,4	176,7	179,2	169,6	175,9	208,7
2006	2350,8	330,2	520,2	695,6	804,8	87,5	101,7	141,0	149,7	166,0	204,5	218,9	229,8	246,9	246,3	250,8	307,7
2007	3293,3	447,8	741,5	957,4	1146,6	125,7	136,4	185,7	210,2	240,4	290,9	309,4	312,8	335,2	337,4	340,3	468,9
2008	4528,1	705,4	1083,3	1304,6	1434,8	199,2	217,5	288,7	315,3	347,8	420,2	432,1	415,2	457,3	439,1	438,9	556,8
2009	3998,3	661,7	949,2	1105,5	1281,9	196,8	201,6	263,3	293,6	295,9	359,7	369,0	359,2	377,3	374,3	380,8	526,8
2010	4454,1	646,9	1055,8	1288,4	1463,0	184,8	199,9	262,2	309,8	318,8	427,2	397,0	424,7	466,7	419,8	430,0	613,2
2011	5140,3	733,6	1159,1	1496,2	1751,4	201,3	224,9	307,4	334,7	353,3	471,1	457,5	490,2	548,5	516,0	513,3	722,1
2012	5714,1	843,7	1330,7	1660,2	1879,5	238,8	257,3	347,6	383,2	423,4	524,1	508,6	552,6	599,0	560,7	553,1	765,7
2013	6019,5	939,6	1395,3	1719,2	1965,4	269,7	284,1	385,8	399,7	449,0	546,6	562,2	555,6	601,4	591,9	586,1	787,4
2014	6125,2	934,2	1413,0	1756,6	2021,4	263,3	286,4	384,5	402,5	441,8	568,7	568,7	572,7	615,2	603,2	600,5	817,7
2015		914,6	1317,8	1607,3		257,7	288,1	368,8	391,7	405,9	520,2	523,7	523,9	559,7	581,0	580,1	
	Год Year	Кварталы / Quarters	Янв. Jan.	Фев. Feb.	Март Mar.	Апр. Apr.	Май May	Июнь June	Июль July	Август Aug.	Сент. Sept.	Окт. Oct.	Нояб. Nov.	Дек. Dec.			
		I	II	III	IV												
в % к соответствующему периоду предыдущего года / percent of corresponding period of previous year																	
1999	103,9	92,0	93,8	104,3	117,1	91,6	91,8	92,6	92,9	93,7	94,5	96,1	104,1	111,8	114,3	114,0	122,0
2000	113,5	111,1	116,2	113,4	112,9	110,4	111,3	111,4	115,2	117,8	115,5	112,2	116,4	111,6	111,6	113,0	114,1
2001	110,4	107,4	106,6	111,1	114,3	108,9	107,8	106,1	106,9	106,7	106,3	108,1	112,7	112,2	112,3	113,4	116,8
2002	102,9	102,7	103,2	102,6	103,0	104,3	101,8	102,3	103,4	103,3	102,9	102,6	103,2	102,1	101,9	102,9	104,2
2003	112,8	112,1	113,2	113,1	112,8	112,2	111,9	112,2	113,1	113,8	112,7	113,5	112,7	113,1	113,0	110,1	114,8
2004	110,1	113,8	114,5	106,8	107,8	113,2	113,7	114,2	115,7	114,8	113,3	107,5	107,0	105,8	103,3	108,8	110,7
2005	113,2	107,6	109,0	114,4	118,0	108,6	107,2	107,3	108,7	107,9	110,1	115,8	114,4	113,2	116,5	119,1	118,4
2006	118,1	103,6	115,0	117,5	126,5	94,4	98,5	113,0	114,4	113,2	116,9	116,8	114,7	120,8	126,9	123,9	128,3
2007	118,2	117,2	121,6	115,7	118,5	124,1	116,0	113,5	120,5	123,4	120,8	119,4	114,5	113,6	114,1	112,9	125,8
2008	112,8	128,9	118,2	109,5	103,8	130,3	130,0	127,0	121,8	117,2	116,2	112,1	106,4	109,8	105,9	106,3	100,1
2009	86,8	83,4	83,4	85,5	92,3	86,0	82,0	82,5	86,5	80,7	83,1	85,0	87,3	84,4	88,4	89,7	96,9
2010	105,0	97,3	106,6	108,5	104,1	94,3	98,5	98,6	102,8	103,0	112,1	100,7	109,7	114,0	102,5	102,9	106,2
2011	105,1	102,6	99,9	105,6	109,1	98,9	101,3	105,9	98,0	100,6	100,9	104,9	104,6	107,1	111,4	108,9	107,7
2012	102,5	105,3	105,4	102,1	99,5	108,5	104,6	103,5	104,5	110,2	102,1	101,7	104,1	100,7	100,7	100,5	98,0
2013	100,1	104,6	98,8	98,7	100,1	105,6	103,7	104,6	98,4	100,1	98,0	105,2	96,0	95,3	100,7	101,6	98,6
20141)	97,7	95,6	97,3	98,1	98,6	93,9	96,0	96,6	97,3	94,0	99,9	97,1	98,9	98,2	98,5	97,5	99,6
2015		93,2	88,9	87,5		93,3	96,0	91,1	92,6	87,6	87,2	88,2	87,2	87,0	92,1	92,9	
в % к предыдущему периоду / percent of previous period																	
1999		80,5	130,1	120,5	92,8	65,4	114,1	121,4	95,7	109,4	121,9	106,4	98,5	107,8	92,9	94,9	106,0
2000		76,3	136,1	117,6	92,5	59,2	115,0	121,6	99,0	111,9	119,4	103,5	102,1	103,4	92,9	96,0	107,1
2001		72,6	135,0	122,6	95,1	56,5	113,7	119,7	99,7	111,6	119,0	105,2	106,5	102,9	93,0	97,0	110,3
2002		65,3	135,6	121,9	95,5	50,4	111,0	120,3	100,8	111,6	118,5	104,9	107,1	101,8	92,8	97,9	111,6
2003		71,0	136,9	121,9	95,2	54,3	110,7	120,6	101,6	112,3	117,4	105,6	106,4	102,2	92,7	95,4	116,4
2004		71,6	137,8	113,6	96,1	53,5	111,2	121,1	103,0	111,4	115,8	100,2	106,0	101,0	90,5	100,5	118,4
2005		71,5	139,5	119,3	99,2	52,5	109,8	121,1	104,3	110,6	118,1	105,4	104,7	100,0	93,1	102,8	117,8
2006		62,8	154,8	121,9	106,8	41,9	114,6	139,0	105,6	109,4	122,0	105,3	102,8	105,3	97,8	100,3	121,9
2007		58,2	160,6	116,0	109,3	40,5	107,1	136,1	112,1	112,1	119,4	104,1	98,5	104,5	98,3	99,3	135,8
2008		63,3	147,2	107,5	103,7	42,0	106,8	133,0	107,5	107,9	118,4	100,4	93,5	107,8	94,8	99,7	128,0
2009		50,8	147,3	110,2	111,8	36,0	101,8	133,8	112,7	100,6	121,9	102,7	96,1	104,2	99,2	101,1	138,3
2010		53,6	161,3	112,2	107,3	35,1	106,3	134,0	117,5	100,8	132,7	92,3	104,6	108,3	89,2	101,5	142,8
2011		52,8	157,2	118,5	110,9	32,7	108,8	140,1	108,8	103,4	133,1	96,0	104,3	110,8	92,8	99,2	141,2
2012		50,9	157,4	114,9	108,0	32,9	104,9	138,5	109,9	109,1	123,3	95,6	106,8	107,3	92,7	99,1	137,6
2013		53,6	148,6	114,8	109,6	35,5	103,0	139,8	103,4	111,0	120,7	102,6	97,4	106,6	98,0	99,9	133,6
2014		51,21)	151,3	115,7	110,2	33,81)	105,41)	140,61)	104,2	107,2	128,2	99,7	99,3	105,8	98,3	98,8	136,4
2015		48,3	144,2	113,9		31,7	108,4	133,4	106,0	101,4	127,6	100,9	98,2	105,6	104,0	99,8	
