time_index,year,qtr,CONSTR_bln_rub_fix,CONSTR_rog,CONSTR_yoy,CPI_ALCOHOL_rog,CPI_FOOD_rog,CPI_NONFOOD_rog,CPI_SERVICES_rog,CPI_rog,DWELL_mln_m2,DWELL_rog,DWELL_yoy,GDP_bln_rub,GDP_yoy,GOV_CONSOLIDATED_EXPENSE_ACCUM_bln_rub,GOV_CONSOLIDATED_REVENUE_ACCUM_bln_rub,GOV_FEDERAL_EXPENSE_ACCUM_bln_rub,GOV_FEDERAL_REVENUE_ACCUM_bln_rub,GOV_FEDERAL_SURPLUS_ACCUM_bln_rub,GOV_SUBFEDERAL_EXPENSE_ACCUM_bln_rub,GOV_SUBFEDERAL_REVENUE_ACCUM_bln_rub,GOV_SUBFEDERAL_SURPLUS_ACCUM_bln_rub,IND_PROD_rog,IND_PROD_yoy,I_bln_rub,I_rog,I_yoy,NONFINANCIALS_PROFIT_CONSTRUCTION_bln_rub,NONFINANCIALS_PROFIT_MANUF_bln_rub,NONFINANCIALS_PROFIT_MINING_bln_rub,NONFINANCIALS_PROFIT_POWER_GAS_WATER_bln_rub,NONFINANCIALS_PROFIT_TRANS_COMM_bln_rub,PROD_AUTO_BUS_units,PROD_AUTO_PSGR_th,PROD_AUTO_TRUCKS_AND_CHASSIS_th,PROD_AUTO_TRUCKS_th,PROD_BYCYCLES_th,PROD_COAL_mln_t,PROD_EGGS_mln,PROD_EGGS_yoy,PROD_E_TWh,PROD_FOOTWEAR_mln_pair,PROD_GASOLINE_mln_t,PROD_NATURAL_AND_ASSOC_GAS_bln_m3,PROD_OIL_mln_t,PROD_RAILWAY_CARGO_WAGONS_units,PROD_RAILWAY_PSGR_WAGONS_units,PROD_STEEL_th_ton,PROD_WOOD_INDUSTRIAL_mln_solid_m3,PROD_WOOD_ROUGH_mln_solid_m3,RETAIL_SALES_bln_rub,RETAIL_SALES_rog,RETAIL_SALES_yoy,RETAIL_USLUGI_bln_rub,RETAIL_USLUGI_rog,RETAIL_USLUGI_yoy,SOC_EMPLOYED_mln,SOC_EMPLOYED_yoy,SOC_PENSION_rub,SOC_UNEMPLOYED_bln,SOC_UNEMPLOYMENT_percent,SOC_WAGE_rog,SOC_WAGE_rub,SOC_WAGE_yoy,TRADE_GOODS_EXPORT_bln_usd,TRADE_GOODS_EXPORT_rog,TRADE_GOODS_EXPORT_yoy,TRADE_GOODS_IMPORT_bln_usd,TRADE_GOODS_IMPORT_rog,TRADE_GOODS_IMPORT_yoy,TRANS_COM_bln_t_km,TRANS_COM_rog,TRANS_COM_yoy,TRANS_RAILLOAD_mln_t,TRANS_RAILLOAD_rog,TRANS_RAILLOAD_yoy,TRANS_bln_t_km,TRANS_rog,TRANS_yoy
1999-03-31,1999,1,50.9,80.5,92.0,118.2,118.4,114.0,109.5,116.0,4.1,,98.1,901.0,98.1,103.1,99.3,61.0,54.7,-6.3,49.2,51.7,2.5,,,96.8,,93.8,1039.0,13679.0,16080.0,-490.0,13312.0,14486.0,230.0,,39.6,92.4,67.1,7516.0,97.1,243.0,5.6,6.0,161.0,71.9,1051.0,143.0,11265.0,23.9,,379.0,88.0,88.1,90.6,90.5,104.2,61.1,102.4,403.1,10.2,14.3,99.4,1248.0,123.0,15.3,81.7,85.1,9.1,97.4,51.1,821.0,99.2,100.9,215.0,102.8,103.8,841.3,,
1999-06-30,1999,2,69.1,130.1,93.8,106.8,106.4,108.6,109.0,107.3,5.5,132.8,100.7,1102.0,103.1,380.8,349.9,213.4,173.7,-39.7,185.0,193.8,8.8,,,131.1,,99.2,4713.0,46463.0,40142.0,1932.0,35059.0,12413.0,243.0,,43.3,125.0,57.3,9086.0,98.2,186.0,7.8,6.4,142.0,73.3,1133.0,169.0,12765.0,15.7,,416.5,100.8,90.0,102.4,104.5,106.5,62.9,106.2,438.0,9.4,13.0,121.1,1511.0,141.1,17.1,111.9,91.6,10.1,110.9,58.1,831.0,101.2,106.5,234.0,107.6,111.8,852.6,101.3,
1999-09-30,1999,3,91.4,120.5,104.3,106.0,104.3,107.2,107.2,105.6,5.9,108.5,104.5,1373.0,111.4,694.4,658.7,381.7,334.3,-47.4,345.5,356.7,11.2,,,185.6,,105.0,8943.0,84184.0,67798.0,4726.0,60062.0,11300.0,243.0,,44.3,112.0,56.2,9077.0,104.5,177.0,8.2,7.2,131.0,74.7,1085.0,194.0,13561.0,17.1,,464.6,105.1,90.3,121.0,109.1,110.0,63.9,108.8,455.5,8.9,12.3,108.7,1642.0,151.5,18.9,110.5,98.5,9.5,93.8,70.6,833.0,100.2,109.0,244.0,103.1,119.5,857.9,100.6,
1999-12-31,1999,4,96.4,92.8,117.1,107.1,102.8,104.9,104.7,103.9,16.5,2.8,107.3,1447.0,112.0,1258.0,1213.6,666.9,615.5,-51.4,653.8,660.8,7.0,,,256.9,,117.4,14822.0,137998.0,109148.0,8241.0,97060.0,11822.0,238.0,,48.9,95.6,68.9,7456.0,105.5,240.0,8.3,6.6,158.0,75.0,871.0,210.0,13927.0,19.1,,537.3,110.6,103.1,129.7,101.4,104.7,63.6,107.6,499.5,9.1,12.5,117.4,1927.0,154.4,24.3,128.8,130.1,10.8,114.2,115.8,887.0,106.5,107.1,254.0,104.2,118.8,909.6,106.0,
2000-03-31,2000,1,78.8,76.3,111.1,114.3,101.4,105.0,108.0,104.1,4.1,,100.1,1527.0,111.4,184.8,217.4,111.2,138.3,27.1,82.3,87.8,5.5,,,165.8,,113.5,6506.0,58156.0,42820.0,4263.0,38674.0,12191.0,239.0,,45.2,144.0,71.1,7854.0,104.5,252.0,7.8,6.4,159.0,75.0,1075.0,182.0,14380.0,26.5,,517.7,92.4,108.2,122.9,86.9,104.4,63.6,104.1,582.6,8.8,12.1,98.6,1899.0,157.1,23.9,98.3,156.4,10.0,92.1,109.5,886.0,99.9,107.9,253.0,100.8,117.8,907.8,99.8,107.9
2000-06-30,2000,2,113.6,136.1,116.2,103.4,106.1,103.5,106.6,105.3,5.7,138.8,104.6,1697.0,110.2,609.5,717.7,333.9,415.5,81.6,311.6,338.2,26.6,,,236.0,,119.6,13461.0,118956.0,85725.0,9182.0,77801.0,13713.0,238.0,,46.4,191.0,60.5,9343.0,102.8,191.0,8.2,6.5,138.0,76.8,1241.0,193.0,14887.0,16.7,,542.8,101.3,108.7,138.3,107.1,105.1,65.6,104.3,667.1,7.7,10.4,113.1,2148.0,146.2,25.5,106.6,149.0,10.4,104.0,102.7,867.0,97.8,104.3,263.0,103.7,112.3,889.4,98.0,104.3
2000-09-30,2000,3,151.7,117.6,113.4,103.3,102.6,104.3,109.8,104.1,5.9,102.8,99.1,2038.0,110.5,1058.3,1232.3,556.0,693.0,137.0,565.1,602.1,37.0,,,330.2,,119.7,21976.0,192003.0,135333.0,15574.0,123448.0,14173.0,255.0,,47.0,135.0,55.6,9155.0,100.9,184.0,8.0,7.3,131.0,79.9,796.0,190.0,15172.0,17.4,,598.4,105.8,109.4,162.9,109.1,105.2,65.8,103.0,729.7,7.2,9.9,108.8,2336.0,148.0,26.6,104.6,141.1,11.1,107.2,117.3,868.0,100.1,104.2,259.0,97.6,106.3,895.8,100.7,104.4
2000-12-31,2000,4,159.7,92.5,112.9,102.3,106.1,104.6,105.7,105.4,14.6,2.5,88.3,2044.0,108.2,1960.1,2097.7,1029.2,1132.1,102.9,1032.1,1065.8,33.8,,,433.2,,116.1,30359.0,266128.0,188810.0,21280.0,171970.0,13924.0,237.0,,45.9,169.0,70.7,7733.0,103.7,251.0,8.0,7.0,156.0,81.1,917.0,237.0,14658.0,20.0,,693.4,110.5,109.4,178.7,102.8,104.1,65.2,102.5,797.9,7.1,9.8,113.5,2652.0,141.1,29.1,109.1,119.5,13.4,120.2,123.5,921.0,106.1,103.8,272.0,104.7,106.7,945.3,105.5,103.9
2001-03-31,2001,1,116.9,72.6,107.4,103.3,107.9,104.0,112.9,107.1,4.0,,97.8,1901.0,104.7,267.0,316.5,170.4,200.1,29.7,130.3,150.1,19.8,,,230.3,,107.0,8091.0,72158.0,52909.0,5344.0,47831.0,11419.0,246.0,,40.6,148.0,72.7,7737.0,98.5,256.0,8.1,6.9,157.0,79.5,926.0,191.0,14227.0,26.6,,665.2,91.1,107.9,168.7,85.9,103.2,64.3,101.6,880.3,7.0,9.8,104.8,2781.0,146.6,25.6,88.0,107.0,11.3,84.4,113.1,893.0,96.9,100.8,254.0,95.6,100.2,914.9,96.8,100.8
2001-06-30,2001,2,160.9,135.0,106.6,102.5,106.8,102.4,107.3,105.3,5.7,142.0,100.1,2105.0,105.0,822.0,999.7,465.0,585.3,120.3,444.7,502.1,57.4,,,318.8,,109.5,16434.0,144974.0,104123.0,11277.0,94571.0,12232.0,251.0,,39.4,170.0,62.4,9700.0,103.8,195.0,9.6,6.7,138.0,82.9,1407.0,206.0,15113.0,17.9,,729.6,105.0,111.9,194.2,107.5,103.7,65.3,100.5,984.1,6.2,8.7,110.8,3082.0,144.6,26.2,102.3,102.7,13.6,120.6,131.2,904.0,101.3,104.3,265.0,103.3,100.9,927.8,101.4,104.3
