time_index,year,month,CONSTR_bln_rub_fix,CONSTR_rog,CONSTR_yoy,CORP_DEBT_OVERDUE_BUDGET_bln_rub,CORP_DEBT_OVERDUE_SUPPLIERS_bln_rub,CORP_DEBT_OVERDUE_bln_rub,CORP_DEBT_bln_rub,CPI_ALCOHOL_rog,CPI_FOOD_rog,CPI_NONFOOD_rog,CPI_SERVICES_rog,CPI_rog,IND_PROD_rog,IND_PROD_yoy,IND_PROD_ytd,I_bln_rub,I_rog,I_yoy,PROD_AUTO_BUS_units,PROD_AUTO_PSGR_th,PROD_AUTO_TRUCKS_AND_CHASSIS_th,PROD_AUTO_TRUCKS_th,PROD_BYCYCLES_th,PROD_E_TWh,PROD_RAILWAY_CARGO_WAGONS_units,PROD_RAILWAY_PSGR_WAGONS_units,RETAIL_SALES_bln_rub,RETAIL_SALES_rog,RETAIL_SALES_yoy,RUR_EUR_eop,RUR_USD_eop,SOC_EMPLOYED_mln,SOC_EMPLOYED_yoy,SOC_PENSION_rub,SOC_UNEMPLOYED_bln,SOC_UNEMPLOYMENT_percent,SOC_WAGE_rog,SOC_WAGE_rub,SOC_WAGE_yoy,TRANS_COM_bln_t_km,TRANS_COM_rog,TRANS_COM_yoy,TRANS_RAILLOAD_mln_t,TRANS_RAILLOAD_rog,TRANS_RAILLOAD_yoy,TRANS_bln_t_km,TRANS_rog,TRANS_yoy,USLUGI_bln_rub,USLUGI_rog,USLUGI_yoy
1999-01-31,1999,1,14.1,65.4,91.6,232.4,583.5,1241.1,2347.0,109.7,110.4,106.2,104.1,108.4,,,,28.5,42.5,92.2,4394.0,68.8,,11.5,21.4,84.7,322.0,30.0,121.8,81.7,84.0,25.79,22.6,60.4,101.1,403.0,10.1,14.3,78.7,1167.0,115.5,277.7,98.8,99.7,70.4,97.0,101.4,283.3,,,28.7,80.5,105.2
1999-02-28,1999,2,16.3,114.1,91.8,243.6,597.7,1280.6,2387.3,104.2,104.4,104.0,103.2,104.1,,,,31.8,108.4,93.8,4780.0,79.1,,14.0,30.4,76.5,312.0,50.0,122.9,96.9,89.2,25.11,22.86,61.1,102.4,403.1,10.5,14.6,103.2,1199.0,120.0,252.1,90.8,100.2,67.4,106.0,104.5,258.8,91.3,,29.5,99.6,101.7
1999-03-31,1999,3,20.5,121.4,92.6,249.5,623.8,1321.8,2551.7,103.4,102.7,103.2,101.9,102.8,,,,36.5,111.2,95.1,5312.0,82.5,,14.1,40.6,81.3,417.0,63.0,134.3,106.0,91.4,25.94,24.18,61.7,103.7,403.1,10.1,14.0,114.8,1385.0,130.3,291.4,115.6,102.8,77.3,103.6,105.6,299.2,115.6,,32.4,107.9,105.7
1999-04-30,1999,4,19.6,95.7,92.9,265.9,640.6,1358.9,2651.3,103.4,102.5,104.0,103.1,103.0,,,,36.9,97.2,94.7,5201.0,83.9,,14.9,45.2,67.8,292.0,58.0,135.4,97.6,88.9,25.73,24.23,62.3,105.0,403.1,9.7,13.5,103.0,1423.0,136.4,277.1,95.1,104.3,77.6,103.8,108.3,283.8,94.8,,32.7,98.0,106.4
1999-05-31,1999,5,22.0,109.4,93.7,269.4,639.3,1366.3,2667.2,101.8,102.0,102.7,102.1,102.2,,,,41.4,109.2,99.2,3420.0,77.1,,13.8,31.6,62.3,461.0,42.0,138.9,100.2,89.7,25.52,24.44,62.9,106.3,455.5,9.3,12.9,103.4,1472.0,141.1,282.1,101.8,109.1,79.3,98.9,113.0,289.1,101.9,,32.8,98.1,106.5
1999-06-30,1999,6,27.5,121.9,94.5,276.9,654.1,1388.0,2699.7,101.4,101.8,101.6,103.5,101.9,,,,52.8,124.3,102.9,3792.0,82.4,,14.6,47.8,56.1,380.0,69.0,142.2,100.7,91.3,25.07,24.22,63.3,107.3,455.5,9.1,12.8,109.7,1626.0,145.6,271.9,96.4,106.3,77.1,100.4,114.4,279.7,96.8,,36.9,108.7,106.5
1999-07-31,1999,7,29.3,106.4,96.1,282.2,654.4,1404.8,2767.3,102.1,103.3,101.9,103.1,102.8,,,,56.2,102.6,102.1,4221.0,86.4,,14.9,45.0,55.8,343.0,60.0,145.8,100.0,89.2,25.94,24.19,63.7,108.2,455.5,9.0,12.5,99.6,1618.0,147.3,276.2,101.6,107.0,80.4,100.9,117.4,284.2,101.6,,39.1,102.8,108.8
1999-08-31,1999,8,29.1,98.5,104.1,291.6,658.7,1427.4,2780.6,101.9,100.3,102.4,101.9,101.2,,,,61.8,106.2,101.9,3679.0,76.2,,15.1,30.0,58.2,351.0,62.0,157.6,106.5,88.8,25.92,24.75,64.1,109.2,455.5,8.8,12.1,99.3,1608.0,153.1,281.2,101.8,108.9,82.2,102.2,118.3,289.8,101.9,,40.5,101.6,110.5
1999-09-30,1999,9,33.0,107.8,111.8,289.0,665.9,1416.9,2855.0,102.0,100.7,102.7,102.0,101.5,,,,67.6,104.1,111.1,3400.0,80.6,,14.3,36.5,63.3,391.0,72.0,161.2,100.5,92.2,26.46,25.08,64.0,109.1,455.6,8.9,12.2,104.6,1684.0,152.1,275.2,97.9,111.2,81.4,102.3,122.9,283.9,98.0,,41.4,100.2,110.6
1999-10-31,1999,10,30.9,92.9,114.3,292.2,665.0,1435.1,2905.4,101.9,100.7,102.2,102.0,101.4,,,,66.5,95.1,114.8,2995.0,71.9,,15.4,32.0,71.8,310.0,68.0,167.1,102.1,101.9,27.43,26.05,63.8,109.1,455.6,9.0,12.4,101.8,1716.0,153.6,292.8,106.4,106.1,85.2,101.3,116.1,301.0,106.1,,41.7,98.6,109.4
1999-11-30,1999,11,29.9,94.9,114.0,286.5,649.4,1416.3,2910.9,102.2,100.9,101.5,101.7,101.2,,,,72.0,104.3,112.1,4028.0,79.8,,16.4,30.7,80.8,107.0,63.0,170.2,100.5,101.9,26.84,26.42,63.6,107.6,521.4,9.2,12.6,104.2,1789.0,154.3,288.9,98.7,106.5,82.2,99.7,120.7,295.9,98.3,,42.3,99.7,106.3
1999-12-31,1999,12,35.6,106.0,122.0,275.2,619.5,1354.5,2900.8,102.8,101.2,101.1,100.9,101.3,,,,118.4,161.3,122.6,4799.0,86.3,,17.1,32.9,87.5,454.0,79.0,200.0,116.0,105.6,27.23,27.0,63.5,106.2,521.5,9.1,12.5,126.0,2283.0,155.1,305.6,105.8,108.8,86.8,102.2,119.6,312.6,105.6,,45.7,106.9,99.4
2000-01-31,2000,1,21.6,59.2,110.4,277.1,615.5,1351.1,2844.5,109.2,101.3,102.2,103.4,102.3,,,,46.1,37.4,107.9,3941.0,71.9,,13.4,39.6,88.9,282.0,59.0,170.3,83.3,107.6,28.23,28.55,63.4,104.9,521.6,9.0,12.5,82.8,1830.0,162.6,296.6,97.1,106.8,81.2,93.5,115.3,302.9,96.9,106.9,39.8,78.2,106.8
2000-02-29,2000,2,25.5,115.0,111.3,303.6,685.0,1483.9,3063.6,102.8,100.2,101.3,103.0,101.0,,,,55.8,116.6,116.1,4026.0,79.7,,15.6,44.8,81.6,393.0,57.0,168.1,97.9,108.7,27.44,28.66,63.2,103.5,613.2,9.0,12.4,100.4,1839.0,158.1,286.1,96.5,113.5,82.5,108.7,122.5,293.5,96.9,113.4,39.5,97.0,103.1
2000-03-31,2000,3,31.7,121.6,111.4,313.9,729.5,1577.0,3306.3,101.8,99.9,101.4,101.5,100.6,,,,63.9,110.8,115.7,4224.0,87.2,,16.1,59.4,81.9,400.0,66.0,179.3,105.9,108.4,27.13,28.46,64.1,103.9,613.1,8.5,11.4,109.6,2018.0,151.3,303.4,106.0,104.1,89.6,101.6,115.9,311.4,106.1,104.1,43.6,109.1,103.4
2000-04-30,2000,4,32.1,99.0,115.2,320.9,728.4,1598.9,3336.9,100.8,100.2,101.5,102.1,100.9,,,,64.5,97.9,116.5,4473.0,81.6,,16.1,65.6,68.4,370.0,65.0,177.8,98.2,109.1,25.89,28.4,65.0,104.3,613.2,8.0,10.8,101.1,2039.0,147.9,287.5,94.8,103.7,87.7,101.1,112.9,294.5,94.6,103.8,44.2,99.3,104.5
2000-05-31,2000,5,36.5,111.9,117.8,317.0,747.8,1602.2,3331.8,101.2,102.3,101.1,101.3,101.8,,,,75.8,114.4,122.1,4504.0,75.3,,15.1,60.4,65.2,428.0,64.0,179.8,99.6,108.4,26.19,28.25,65.9,104.7,693.8,7.6,10.3,102.9,2101.0,146.0,293.4,102.0,104.0,88.1,97.3,111.1,300.6,102.1,104.0,44.9,100.6,105.5
2000-06-30,2000,6,45.0,119.4,115.5,317.8,748.0,1614.1,3429.3,101.4,103.5,100.8,103.0,102.6,,,,95.7,122.1,120.0,4736.0,81.2,,15.2,65.4,57.7,443.0,64.0,185.2,101.1,108.7,26.48,28.07,65.9,104.1,694.4,7.5,10.1,109.2,2294.0,145.8,286.2,97.5,105.3,87.0,102.0,112.9,294.3,97.9,105.2,49.2,107.5,105.5
2000-07-31,2000,7,48.1,103.5,112.2,335.0,766.1,1647.1,3477.6,101.5,101.8,100.8,103.8,101.8,,,,99.1,100.0,116.9,4418.0,83.9,,15.6,59.4,58.7,360.0,70.0,190.2,101.4,110.2,25.92,27.8,65.9,103.4,695.1,7.3,10.0,100.6,2302.0,146.4,292.0,102.1,105.7,85.8,95.5,106.8,300.9,102.2,105.8,52.8,103.8,105.9
2000-08-31,2000,8,50.0,102.1,116.4,334.4,765.9,1631.1,3424.5,101.1,100.2,101.4,103.0,101.0,,,,112.9,111.2,122.5,4909.0,86.6,,16.6,38.0,60.4,175.0,65.0,202.6,105.6,109.3,24.74,27.75,65.9,102.8,745.8,7.2,9.9,99.5,2289.0,146.3,290.0,99.3,103.1,87.2,101.6,106.1,299.4,99.5,103.3,55.0,101.4,106.3
2000-09-30,2000,9,53.6,103.4,111.6,336.6,750.8,1631.9,3553.1,100.7,100.6,102.1,102.8,101.3,,,,118.3,101.7,119.6,4846.0,84.8,,14.8,37.4,64.5,261.0,55.0,205.6,100.1,108.8,24.42,27.75,65.7,102.7,748.2,7.1,9.8,103.4,2367.0,144.6,285.8,98.5,103.8,86.2,102.2,105.9,295.5,98.7,104.1,55.1,97.4,103.4
2000-10-31,2000,10,51.8,92.9,111.6,345.0,748.4,1623.5,3566.4,100.5,102.4,101.9,102.4,102.1,,,,114.6,94.0,118.2,5431.0,87.0,,16.1,27.5,76.9,376.0,77.0,214.3,102.2,109.0,23.42,27.83,65.5,102.7,748.9,7.1,9.8,102.6,2425.0,145.6,307.8,107.7,105.1,91.3,102.4,107.1,316.9,107.3,105.3,56.8,100.8,107.3
2000-11-30,2000,11,51.1,96.0,113.0,344.5,742.7,1611.3,3564.2,100.8,101.6,101.5,101.6,101.5,,,,123.0,104.6,118.5,4327.0,80.0,,15.6,32.2,83.4,223.0,70.0,220.5,101.4,109.9,23.88,27.85,65.3,102.6,821.3,7.1,9.8,103.4,2508.0,143.0,302.1,98.2,104.6,89.7,101.6,109.2,309.9,97.8,104.7,58.4,101.1,106.7
2000-12-31,2000,12,56.8,107.1,114.1,346.4,712.5,1571.5,3515.0,101.1,102.0,101.2,101.6,101.6,,,,195.5,154.3,113.4,4166.0,69.8,,14.2,109.0,90.2,318.0,90.0,258.6,115.6,109.4,26.14,28.16,64.8,102.1,823.4,7.1,9.9,120.7,3025.0,136.3,311.0,102.9,101.8,90.3,97.4,104.0,318.5,102.8,101.9,63.5,107.2,99.3
2001-01-31,2001,1,32.7,56.5,108.9,350.2,732.8,1588.8,3756.9,101.8,103.2,101.4,104.6,102.8,,,,66.7,35.7,109.4,3306.0,76.2,,11.6,45.3,90.6,232.0,61.0,214.4,81.2,106.6,26.0,28.37,64.4,101.7,824.2,7.1,9.9,90.8,2733.0,149.3,301.0,96.8,101.5,82.1,91.0,101.2,307.4,96.5,101.5,54.9,82.3,104.7
2001-02-28,2001,2,38.0,113.7,107.8,359.5,739.9,1634.0,3919.5,100.9,102.5,101.3,104.3,102.3,,,,77.4,113.6,106.6,4227.0,79.7,,13.5,46.8,82.2,280.0,86.0,216.4,99.2,108.0,26.22,28.72,64.0,101.2,900.2,7.1,10.0,97.1,2655.0,144.4,280.7,93.3,98.1,79.9,107.7,96.8,288.0,93.7,98.1,54.8,96.6,104.4
2001-03-31,2001,3,46.2,119.7,106.1,363.4,748.0,1625.6,4064.4,100.6,101.9,101.3,103.4,101.9,,,,86.2,109.8,105.6,3886.0,89.8,,15.5,55.8,83.3,414.0,44.0,234.4,106.7,108.9,25.29,28.74,64.5,100.6,916.4,6.8,9.5,111.8,2964.0,147.0,311.0,110.8,102.5,91.7,103.6,102.3,319.5,110.9,102.6,59.0,105.0,100.6
2001-04-30,2001,4,46.4,99.7,106.9,371.4,760.1,1655.2,4118.0,100.6,102.2,100.9,102.8,101.8,,,,87.9,100.5,108.4,4201.0,87.2,,15.8,54.2,71.3,381.0,62.0,237.7,100.0,111.0,25.67,28.83,65.0,100.0,917.3,6.5,9.1,98.4,2923.0,144.3,299.1,96.2,104.0,88.5,99.7,100.9,306.7,96.0,104.1,61.9,102.4,103.7
2001-05-31,2001,5,52.1,111.6,106.7,370.3,785.5,1656.9,4185.4,100.8,102.5,100.9,101.8,101.8,,,,106.1,119.1,112.8,3501.0,81.0,,11.9,55.8,64.7,547.0,60.0,244.0,101.1,112.8,24.87,29.09,65.5,99.4,1015.7,6.1,8.6,104.5,3054.0,145.8,307.7,102.9,104.9,89.3,97.7,101.3,315.3,102.8,104.9,63.5,101.2,104.5
2001-06-30,2001,6,62.4,119.0,106.3,368.4,771.5,1666.0,4232.2,101.1,102.0,100.6,102.5,101.6,,,,124.8,116.5,107.7,4530.0,82.4,,11.7,60.4,59.1,479.0,84.0,247.9,100.4,112.0,24.57,29.07,65.6,99.6,1019.3,6.1,8.5,107.4,3284.0,144.3,297.3,96.6,103.9,87.3,101.0,100.3,305.8,97.0,103.9,68.8,105.7,103.0
2001-07-31,2001,7,66.1,105.2,108.1,380.7,795.8,1715.6,4331.6,101.1,99.6,100.5,102.9,100.5,,,,127.7,101.3,109.1,4765.0,85.8,,11.8,56.2,60.1,487.0,93.0,250.5,100.9,111.4,25.6,29.27,65.8,99.8,1020.3,6.1,8.5,102.4,3364.0,146.9,299.4,100.7,102.5,88.9,98.6,103.6,308.9,101.0,102.7,72.2,103.3,102.4
2001-08-31,2001,8,71.1,106.5,112.7,382.5,776.8,1685.9,4287.4,100.9,98.7,100.8,102.3,100.0,,,,144.2,111.8,109.7,5556.0,90.4,,14.5,39.4,61.7,457.0,71.0,266.3,106.3,112.2,26.67,29.37,65.9,100.0,1126.8,6.1,8.5,100.3,3376.0,148.4,302.5,101.0,104.3,90.7,102.0,104.1,312.9,101.3,104.5,74.0,100.9,102.1
2001-09-30,2001,9,73.7,102.9,112.2,373.2,770.6,1671.4,4354.1,101.0,99.6,101.2,102.6,100.6,,,,149.2,102.7,110.8,5855.0,84.0,,16.8,25.5,64.4,793.0,81.0,266.5,99.6,111.6,26.86,29.39,65.7,99.9,1133.6,6.2,8.6,100.7,3405.0,145.0,299.9,99.1,104.9,89.1,101.5,103.3,310.5,99.2,105.1,73.1,96.3,101.1
2001-10-31,2001,10,69.9,93.0,112.3,343.1,779.8,1638.9,4340.0,101.0,100.7,101.3,101.9,101.1,,,,144.7,95.3,112.4,5783.0,95.9,,18.7,24.1,78.5,783.0,76.0,277.8,103.1,112.7,26.87,29.7,65.4,99.9,1134.7,6.2,8.7,103.3,3515.0,145.6,326.9,109.0,106.2,93.6,101.7,103.3,336.7,108.4,106.3,74.6,100.8,100.8
2001-11-30,2001,11,68.7,97.0,113.4,332.9,795.8,1639.0,4346.6,101.2,101.5,101.1,101.5,101.4,,,,150.2,102.5,110.2,5758.0,85.5,,15.6,20.9,82.5,788.0,67.0,283.8,100.9,112.2,26.52,29.9,65.1,99.8,1135.8,6.3,8.8,101.8,3578.0,143.3,313.7,96.0,103.8,90.4,99.7,100.7,322.2,95.7,104.0,75.5,99.9,99.2
