time_index,year,qtr,CONSTR_bln_rub_fix,CONSTR_rog,CONSTR_yoy,CPI_ALCOHOL_rog,CPI_FOOD_rog,CPI_NONFOOD_rog,CPI_SERVICES_rog,CPI_rog,IND_PROD_rog,IND_PROD_yoy,I_bln_rub,I_rog,I_yoy,PROD_AUTO_BUS_units,PROD_AUTO_PSGR_th,PROD_AUTO_TRUCKS_th,PROD_BYCYCLES_th,PROD_E_TWh,PROD_RAILWAY_CARGO_WAGONS_units,PROD_RAILWAY_PSGR_WAGONS_units,RETAIL_SALES_bln_rub,RETAIL_SALES_rog,RETAIL_SALES_yoy,SOC_EMPLOYED_mln,SOC_EMPLOYED_yoy,SOC_PENSION_rub,SOC_UNEMPLOYED_bln,SOC_UNEMPLOYMENT_percent,SOC_WAGE_rog,SOC_WAGE_rub,SOC_WAGE_yoy,TRANS_COM_bln_t_km,TRANS_COM_rog,TRANS_COM_yoy,TRANS_RAILLOAD_mln_t,TRANS_RAILLOAD_rog,TRANS_RAILLOAD_yoy,TRANS_bln_t_km,TRANS_rog,TRANS_yoy,USLUGI_bln_rub,USLUGI_rog,USLUGI_yoy
1999-03-31,1999,1,50.9,80.5,92.0,118.2,118.4,114.0,109.5,116.0,,,96.8,,93.8,14486.0,230.0,39.6,92.4,243.0,1051.0,143.0,379.0,88.0,88.1,61.1,102.4,403.1,10.2,14.3,99.4,1248.0,123.0,821.0,99.2,100.9,215.0,102.8,103.8,841.3,,,90.6,90.5,104.2
1999-06-30,1999,2,69.1,130.1,93.8,106.8,106.4,108.6,109.0,107.3,,,131.1,,99.2,12413.0,243.0,43.3,125.0,186.0,1133.0,169.0,416.5,100.8,90.0,62.9,106.2,438.0,9.4,13.0,121.1,1511.0,141.1,831.0,101.2,106.5,234.0,107.6,111.8,852.6,101.3,,102.4,104.5,106.5
1999-09-30,1999,3,91.4,120.5,104.3,106.0,104.3,107.2,107.2,105.6,,,185.6,,105.0,11300.0,243.0,44.3,112.0,177.0,1085.0,194.0,464.6,105.1,90.3,63.9,108.8,455.5,8.9,12.3,108.7,1642.0,151.5,833.0,100.2,109.0,244.0,103.1,119.5,857.9,100.6,,121.0,109.1,110.0
1999-12-31,1999,4,96.4,92.8,117.1,107.1,102.8,104.9,104.7,103.9,,,256.9,,117.4,11822.0,238.0,48.9,95.6,240.0,871.0,210.0,537.3,110.6,103.1,63.6,107.6,499.5,9.1,12.5,117.4,1927.0,154.4,887.0,106.5,107.1,254.0,104.2,118.8,909.6,106.0,,129.7,101.4,104.7
2000-03-31,2000,1,78.8,76.3,111.1,114.3,101.4,105.0,108.0,104.1,,,165.8,,113.5,12191.0,239.0,45.2,144.0,252.0,1075.0,182.0,517.7,92.4,108.2,63.6,104.1,582.6,8.8,12.1,98.6,1899.0,157.1,886.0,99.9,107.9,253.0,100.8,117.8,907.8,99.8,107.9,122.9,86.9,104.4
2000-06-30,2000,2,113.6,136.1,116.2,103.4,106.1,103.5,106.6,105.3,,,236.0,,119.6,13713.0,238.0,46.4,191.0,191.0,1241.0,193.0,542.8,101.3,108.7,65.6,104.3,667.1,7.7,10.4,113.1,2148.0,146.2,867.0,97.8,104.3,263.0,103.7,112.3,889.4,98.0,104.3,138.3,107.1,105.1
2000-09-30,2000,3,151.7,117.6,113.4,103.3,102.6,104.3,109.8,104.1,,,330.2,,119.7,14173.0,255.0,47.0,135.0,184.0,796.0,190.0,598.4,105.8,109.4,65.8,103.0,729.7,7.2,9.9,108.8,2336.0,148.0,868.0,100.1,104.2,259.0,97.6,106.3,895.8,100.7,104.4,162.9,109.1,105.2
2000-12-31,2000,4,159.7,92.5,112.9,102.3,106.1,104.6,105.7,105.4,,,433.2,,116.1,13924.0,237.0,45.9,169.0,251.0,917.0,237.0,693.4,110.5,109.4,65.2,102.5,797.9,7.1,9.8,113.5,2652.0,141.1,921.0,106.1,103.8,272.0,104.7,106.7,945.3,105.5,103.9,178.7,102.8,104.1
2001-03-31,2001,1,116.9,72.6,107.4,103.3,107.9,104.0,112.9,107.1,,,230.3,,107.0,11419.0,246.0,40.6,148.0,256.0,926.0,191.0,665.2,91.1,107.9,64.3,101.6,880.3,7.0,9.8,104.8,2781.0,146.6,893.0,96.9,100.8,254.0,95.6,100.2,914.9,96.8,100.8,168.7,85.9,103.2
2001-06-30,2001,2,160.9,135.0,106.6,102.5,106.8,102.4,107.3,105.3,,,318.8,,109.5,12232.0,251.0,39.4,170.0,195.0,1407.0,206.0,729.6,105.0,111.9,65.3,100.5,984.1,6.2,8.7,110.8,3082.0,144.6,904.0,101.3,104.3,265.0,103.3,100.9,927.8,101.4,104.3,194.2,107.5,103.7
2001-09-30,2001,3,210.9,122.6,111.1,103.0,97.9,102.5,107.9,101.1,,,421.1,,109.9,16176.0,260.0,43.1,121.0,186.0,1737.0,245.0,783.3,105.7,111.7,65.8,100.7,1093.6,6.2,8.5,110.1,3393.0,147.9,902.0,99.8,103.9,268.0,100.3,103.7,932.3,100.5,104.1,219.3,106.9,101.9
2001-12-31,2001,4,215.1,95.1,114.3,103.2,104.5,103.3,104.8,104.1,,,534.5,,111.9,16679.0,265.0,49.5,74.5,254.0,2448.0,217.0,891.9,110.8,111.9,65.3,100.5,1136.2,6.2,8.7,114.1,3872.0,146.5,952.0,105.5,103.4,270.0,100.4,99.5,978.6,105.0,103.5,229.5,99.9,98.7
2002-03-31,2002,1,136.3,65.3,102.7,103.3,104.3,102.7,114.5,105.4,94.0,103.1,270.1,,101.3,17021.0,249.0,38.7,126.0,247.0,2122.0,147.0,828.0,89.2,109.6,65.8,102.2,1297.7,6.0,8.4,99.1,3836.0,138.0,937.0,98.5,105.0,248.0,93.9,97.7,961.1,98.2,105.1,232.1,91.3,104.5
2002-06-30,2002,2,188.8,135.6,103.2,101.9,103.2,103.1,105.1,103.4,97.7,101.8,376.4,,103.5,14624.0,262.0,41.8,162.0,196.0,2206.0,233.0,884.2,103.4,108.0,66.8,102.0,1334.4,5.6,7.7,111.0,4257.0,138.1,951.0,101.5,105.2,270.0,107.7,101.8,976.2,101.6,105.2,259.0,106.1,103.7
2002-09-30,2002,3,251.2,121.9,102.6,101.6,98.2,102.1,107.3,101.2,104.7,105.1,494.5,,102.7,16982.0,275.0,44.4,128.0,190.0,2958.0,250.0,963.5,107.5,109.9,67.7,102.9,1420.2,5.5,7.4,106.8,4547.0,134.5,965.0,101.5,107.0,282.0,103.3,104.9,997.2,102.2,107.0,288.3,106.3,103.4
2002-12-31,2002,4,254.7,95.5,103.0,101.8,105.3,102.5,105.5,104.3,106.8,102.7,621.4,,103.1,18065.0,195.0,47.7,92.5,258.0,3454.0,237.0,1089.7,110.6,109.6,66.4,101.6,1461.7,6.3,8.6,110.4,5018.0,129.9,1015.0,105.1,106.6,284.0,100.7,105.2,1041.7,104.5,106.4,308.6,100.3,103.2
2003-03-31,2003,1,172.7,71.0,112.1,104.0,104.9,102.8,110.6,105.2,98.6,107.7,330.0,,110.1,17363.0,201.0,42.3,143.0,261.0,5290.0,230.0,1013.9,89.4,109.9,65.1,99.1,1488.8,6.4,9.0,95.7,4800.0,125.8,1009.0,99.4,107.6,269.0,96.9,108.6,1032.9,99.2,107.5,312.7,94.8,106.8
2003-06-30,2003,2,239.6,136.9,113.2,101.7,102.6,101.8,104.5,102.6,100.5,109.9,470.6,,113.1,17883.0,259.0,47.3,152.0,204.0,6258.0,242.0,1071.9,103.3,109.8,66.2,99.3,1608.6,5.8,8.2,110.3,5296.0,124.8,1024.0,101.5,107.7,291.0,106.8,107.8,1049.6,101.6,107.5,344.2,105.3,106.6
2003-09-30,2003,3,313.0,121.9,113.1,101.6,98.4,101.9,103.6,100.6,102.8,107.6,607.5,,111.8,19892.0,284.0,51.4,73.8,196.0,6904.0,261.0,1142.5,105.2,107.5,67.1,992.0,1701.4,5.7,7.8,104.8,5549.0,123.0,1039.0,101.5,107.7,298.0,101.5,105.9,1072.1,102.1,107.5,377.8,104.5,105.2
2003-12-31,2003,4,317.4,95.2,112.8,102.4,104.1,102.4,102.1,103.1,108.8,110.2,778.3,,113.7,21090.0,267.0,51.9,46.6,255.0,8521.0,292.0,1301.4,111.1,108.1,66.9,100.9,1749.0,5.8,7.9,115.3,6401.0,128.1,1099.0,105.7,108.3,302.0,101.3,106.4,1127.8,105.2,108.3,396.0,102.5,107.1
2004-03-31,2004,1,217.9,71.6,113.8,103.5,103.9,101.4,106.4,103.5,96.6,108.6,442.2,55.5,118.4,16933.0,258.0,49.2,101.0,262.0,8886.0,257.0,1237.3,92.4,111.7,66.2,101.6,1763.7,6.3,8.8,96.4,6173.0,127.3,1086.0,98.8,107.6,289.0,96.7,107.5,1111.2,98.5,107.6,393.4,95.3,107.3
2004-06-30,2004,2,307.0,137.8,114.5,101.9,102.1,102.0,104.3,102.5,100.2,108.3,626.3,137.2,116.9,19246.0,278.0,51.3,128.0,209.0,8531.0,301.0,1322.2,104.5,112.9,67.8,102.5,1889.1,5.4,7.3,107.7,6650.0,125.0,1099.0,101.2,107.3,304.0,105.2,104.5,1126.2,101.3,107.3,430.2,105.3,107.6
2004-09-30,2004,3,384.1,113.6,106.8,101.3,101.1,102.0,103.0,101.8,102.9,108.3,783.3,120.6,111.8,21651.0,303.0,54.5,66.0,200.0,8722.0,306.0,1430.5,106.0,113.6,68.2,101.5,1978.9,5.2,7.0,104.2,6930.0,123.7,1108.0,100.8,106.6,312.0,101.6,104.7,1141.7,101.4,106.5,473.5,107.0,110.8
