time_index,year,qtr,CONSTR_bln_rub_fix,CONSTR_rog,CONSTR_yoy,CPI_ALCOHOL_rog,CPI_FOOD_rog,CPI_NONFOOD_rog,CPI_SERVICES_rog,CPI_rog,DWELL_mln_m2,DWELL_rog,DWELL_yoy,GDP_bln_rub,GOV_CONSOLIDATED_EXPENSE_ACCUM_bln_rub,GOV_CONSOLIDATED_REVENUE_ACCUM_bln_rub,GOV_FEDERAL_EXPENSE_ACCUM_bln_rub,GOV_FEDERAL_REVENUE_ACCUM_bln_rub,GOV_FEDERAL_SURPLUS_ACCUM_bln_rub,GOV_SUBFEDERAL_EXPENSE_ACCUM_bln_rub,GOV_SUBFEDERAL_REVENUE_ACCUM_bln_rub,GOV_SUBFEDERAL_SURPLUS_ACCUM_bln_rub,HH_REAL_DISPOSABLE_INCOME_rog,HH_REAL_DISPOSABLE_INCOME_yoy,IND_PROD_rog,IND_PROD_yoy,I_bln_rub,I_rog,I_yoy,PROD_AGRO_EGGS_mln,PROD_AGRO_EGGS_yoy,PROD_AGRO_MEAT_th_t,PROD_AGRO_MEAT_yoy,RETAIL_SALES_bln_rub,RETAIL_SALES_rog,RETAIL_SALES_yoy,RETAIL_USLUGI_bln_rub,RETAIL_USLUGI_rog,RETAIL_USLUGI_yoy,SOC_MONEY_INCOME_PER_CAPITA_rog,SOC_MONEY_INCOME_PER_CAPITA_rub,SOC_MONEY_INCOME_PER_CAPITA_yoy,SOC_PENSION_rub,SOC_REAL_MONEY_INCOME_rog,SOC_REAL_MONEY_INCOME_yoy,SOC_UNEMPLOYED_REGISTERED_BENEFITS_th,SOC_UNEMPLOYED_REGISTERED_th,SOC_UNEMPLOYED_bln,SOC_UNEMPLOYMENT_RATE_percent,SOC_WAGE_rog,SOC_WAGE_rub,SOC_WAGE_yoy,TRANS_COM_bln_t_km,TRANS_COM_rog,TRANS_COM_yoy,TRANS_RAILLOAD_mln_t,TRANS_RAILLOAD_rog,TRANS_RAILLOAD_yoy,TRANS_bln_t_km,TRANS_rog,TRANS_yoy,TURNOVER_CATERING_bln_rub,TURNOVER_CATERING_rog,TURNOVER_CATERING_yoy
1999-03-31,1999,1,50.9,80.5,92.0,118.2,118.4,114.0,109.5,116.0,4.1,,98.1,901.0,103.1,99.3,61.0,54.7,-6.3,49.2,51.7,2.5,77.8,75.8,,,96.8,,93.8,7516.0,97.1,1427.0,92.3,379.0,88.0,88.1,90.6,90.5,104.2,95.1,1302.8,154.3,403.1,77.2,75.9,1760.0,1938.0,10.2,14.3,99.4,1248.0,123.0,821.0,99.2,100.9,215.0,102.8,103.8,841.3,,,12.4,84.0,78.6
1999-06-30,1999,2,69.1,130.1,93.8,106.8,106.4,108.6,109.0,107.3,5.5,132.8,100.7,1102.0,380.8,349.9,213.4,173.7,-39.7,185.0,193.8,8.8,110.3,80.5,,,131.1,,99.2,9086.0,98.2,1257.0,89.6,416.5,100.8,90.0,102.4,104.5,106.5,120.4,1568.5,176.2,438.0,110.9,81.0,1566.0,1724.0,9.4,13.0,121.1,1511.0,141.1,831.0,101.2,106.5,234.0,107.6,111.8,852.6,101.3,,14.0,100.9,81.2
1999-09-30,1999,3,91.4,120.5,104.3,106.0,104.3,107.2,107.2,105.6,5.9,108.5,104.5,1373.0,694.4,658.7,381.7,334.3,-47.4,345.5,356.7,11.2,101.8,90.0,,,185.6,,105.0,9077.0,104.5,1402.0,87.5,464.6,105.1,90.3,121.0,109.1,110.0,108.4,1700.3,180.5,455.5,102.1,90.8,1250.0,1421.0,8.9,12.3,108.7,1642.0,151.5,833.0,100.2,109.0,244.0,103.1,119.5,857.9,100.6,,15.2,103.4,84.0
1999-12-31,1999,4,96.4,92.8,117.1,107.1,102.8,104.9,104.7,103.9,16.5,2.8,107.3,1447.0,1258.0,1213.6,666.9,615.5,-51.4,653.8,660.8,7.0,116.6,101.8,,,256.9,,117.4,7456.0,105.5,2727.0,92.2,537.3,110.6,103.1,129.7,101.4,104.7,121.9,2071.8,151.3,499.5,117.1,102.4,1096.0,1269.0,9.1,12.5,117.4,1927.0,154.4,887.0,106.5,107.1,254.0,104.2,118.8,909.6,106.0,,18.2,113.8,98.8
2000-03-31,2000,1,78.8,76.3,111.1,114.3,101.4,105.0,108.0,104.1,4.1,,100.1,1527.0,184.8,217.4,111.2,138.3,27.1,82.3,87.8,5.5,85.2,111.6,,,165.8,,113.5,7854.0,104.5,1442.0,101.1,517.7,92.4,108.2,122.9,86.9,104.4,89.3,1851.2,142.1,582.6,85.1,112.9,1052.0,1222.0,8.8,12.1,98.6,1899.0,157.1,886.0,99.9,107.9,253.0,100.8,117.8,907.8,99.8,107.9,18.2,94.3,107.9
2000-06-30,2000,2,113.6,136.1,116.2,103.4,106.1,103.5,106.6,105.3,5.7,138.8,104.6,1697.0,609.5,717.7,333.9,415.5,81.6,311.6,338.2,26.6,112.7,113.9,,,236.0,,119.6,9343.0,102.8,1315.0,104.6,542.8,101.3,108.7,138.3,107.1,105.1,117.0,2166.8,138.1,667.1,112.8,114.8,911.0,1076.0,7.7,10.4,113.1,2148.0,146.2,867.0,97.8,104.3,263.0,103.7,112.3,889.4,98.0,104.3,19.8,104.4,114.2
2000-09-30,2000,3,151.7,117.6,113.4,103.3,102.6,104.3,109.8,104.1,5.9,102.8,99.1,2038.0,1058.3,1232.3,556.0,693.0,137.0,565.1,602.1,37.0,101.9,114.1,,,330.2,,119.7,9155.0,100.9,1482.0,105.7,598.4,105.8,109.4,162.9,109.1,105.2,108.0,2341.0,137.7,729.7,102.7,115.6,835.0,981.0,7.2,9.9,108.8,2336.0,148.0,868.0,100.1,104.2,259.0,97.6,106.3,895.8,100.7,104.4,21.3,102.6,116.0
2000-12-31,2000,4,159.7,92.5,112.9,102.3,106.1,104.6,105.7,105.4,14.6,2.5,88.3,2044.0,1960.1,2097.7,1029.2,1132.1,102.9,1032.1,1065.8,33.8,112.1,109.7,,,433.2,,116.1,7733.0,103.7,2790.0,102.3,693.4,110.5,109.4,178.7,102.8,104.1,118.6,2777.1,134.0,797.9,113.0,111.5,871.0,1002.0,7.1,9.8,113.5,2652.0,141.1,921.0,106.1,103.8,272.0,104.7,106.7,945.3,105.5,103.9,24.0,107.8,109.1
2001-03-31,2001,1,116.9,72.6,107.4,103.3,107.9,104.0,112.9,107.1,4.0,,97.8,1901.0,267.0,316.5,170.4,200.1,29.7,130.3,150.1,19.8,83.7,107.8,,,230.3,,107.0,7737.0,98.5,1453.0,100.7,665.2,91.1,107.9,168.7,85.9,103.2,89.5,2486.4,134.3,880.3,83.5,109.3,954.0,1083.0,7.0,9.8,104.8,2781.0,146.6,893.0,96.9,100.8,254.0,95.6,100.2,914.9,96.8,100.8,24.4,92.8,107.3
2001-06-30,2001,2,160.9,135.0,106.6,102.5,106.8,102.4,107.3,105.3,5.7,142.0,100.1,2105.0,822.0,999.7,465.0,585.3,120.3,444.7,502.1,57.4,112.3,107.5,,,318.8,,109.5,9700.0,103.8,1293.0,98.3,729.6,105.0,111.9,194.2,107.5,103.7,118.7,2950.4,136.2,984.1,112.4,108.9,915.0,1046.0,6.2,8.7,110.8,3082.0,144.6,904.0,101.3,104.3,265.0,103.3,100.9,927.8,101.4,104.3,28.2,106.0,108.9
