Date	"Avia travel, total, bn pass-km"
01.01.1990	#Н/Д
01.02.1990	#Н/Д
01.03.1990	#Н/Д
01.04.1990	#Н/Д
01.05.1990	#Н/Д
01.06.1990	#Н/Д
01.07.1990	#Н/Д
01.08.1990	#Н/Д
01.09.1990	#Н/Д
01.10.1990	#Н/Д
01.11.1990	#Н/Д
01.12.1990	#Н/Д
01.01.1991	#Н/Д
01.02.1991	#Н/Д
01.03.1991	#Н/Д
01.04.1991	#Н/Д
01.05.1991	#Н/Д
01.06.1991	#Н/Д
01.07.1991	#Н/Д
01.08.1991	#Н/Д
01.09.1991	#Н/Д
01.10.1991	#Н/Д
01.11.1991	#Н/Д
01.12.1991	#Н/Д
01.01.1992	#Н/Д
01.02.1992	#Н/Д
01.03.1992	#Н/Д
01.04.1992	#Н/Д
01.05.1992	#Н/Д
01.06.1992	#Н/Д
01.07.1992	#Н/Д
01.08.1992	#Н/Д
01.09.1992	#Н/Д
01.10.1992	#Н/Д
01.11.1992	#Н/Д
01.12.1992	#Н/Д
01.01.1993	#Н/Д
01.02.1993	#Н/Д
01.03.1993	#Н/Д
01.04.1993	#Н/Д
01.05.1993	#Н/Д
01.06.1993	#Н/Д
01.07.1993	#Н/Д
01.08.1993	#Н/Д
01.09.1993	#Н/Д
01.10.1993	#Н/Д
01.11.1993	#Н/Д
01.12.1993	#Н/Д
01.01.1994	#Н/Д
01.02.1994	#Н/Д
01.03.1994	#Н/Д
01.04.1994	#Н/Д
01.05.1994	#Н/Д
01.06.1994	#Н/Д
01.07.1994	#Н/Д
01.08.1994	#Н/Д
01.09.1994	#Н/Д
01.10.1994	#Н/Д
01.11.1994	#Н/Д
01.12.1994	#Н/Д
01.01.1995	#Н/Д
01.02.1995	#Н/Д
01.03.1995	#Н/Д
01.04.1995	#Н/Д
01.05.1995	#Н/Д
01.06.1995	#Н/Д
01.07.1995	#Н/Д
01.08.1995	#Н/Д
01.09.1995	#Н/Д
01.10.1995	#Н/Д
01.11.1995	#Н/Д
01.12.1995	#Н/Д
01.01.1996	#Н/Д
01.02.1996	#Н/Д
01.03.1996	#Н/Д
01.04.1996	#Н/Д
01.05.1996	#Н/Д
01.06.1996	#Н/Д
01.07.1996	#Н/Д
01.08.1996	#Н/Д
01.09.1996	#Н/Д
01.10.1996	#Н/Д
01.11.1996	#Н/Д
01.12.1996	#Н/Д
01.01.1997	#Н/Д
01.02.1997	#Н/Д
01.03.1997	#Н/Д
01.04.1997	#Н/Д
01.05.1997	#Н/Д
01.06.1997	#Н/Д
01.07.1997	#Н/Д
01.08.1997	#Н/Д
01.09.1997	#Н/Д
01.10.1997	#Н/Д
01.11.1997	#Н/Д
01.12.1997	#Н/Д
01.01.1998	#Н/Д
01.02.1998	#Н/Д
01.03.1998	#Н/Д
01.04.1998	#Н/Д
01.05.1998	#Н/Д
01.06.1998	#Н/Д
01.07.1998	#Н/Д
01.08.1998	#Н/Д
01.09.1998	#Н/Д
01.10.1998	#Н/Д
01.11.1998	#Н/Д
01.12.1998	#Н/Д
01.01.1999	3,4
01.02.1999	3,0
01.03.1999	3,5
01.04.1999	3,4
01.05.1999	3,9
01.06.1999	5,4
01.07.1999	6,6
01.08.1999	7,2
01.09.1999	5,1
01.10.1999	4,0
01.11.1999	3,5
01.12.1999	3,6
01.01.2000	3,4
01.02.2000	2,9
01.03.2000	3,3
01.04.2000	3,6
01.05.2000	3,6
01.06.2000	3,9
01.07.2000	5,3
01.08.2000	6,5
01.09.2000	7,2
01.10.2000	5,5
01.11.2000	3,8
01.12.2000	3,8
01.01.2001	3,7
01.02.2001	3,2
01.03.2001	3,8
01.04.2001	4,1
01.05.2001	4,6
01.06.2001	6,3
01.07.2001	7,5
01.08.2001	8,3
01.09.2001	6,2
01.10.2001	4,6
01.11.2001	3,9
01.12.2001	4,0
01.01.2002	4,0
01.02.2002	3,4
01.03.2002	4,1
01.04.2002	4,4
01.05.2002	5,1
01.06.2002	6,7
01.07.2002	7,8
01.08.2002	8,7
01.09.2002	6,6
01.10.2002	5,1
01.11.2002	4,4
01.12.2002	4,4
01.01.2003	4,4
01.02.2003	3,8
01.03.2003	4,2
01.04.2003	4,3
01.05.2003	5,2
01.06.2003	7,0
01.07.2003	8,5
01.08.2003	9,8
01.09.2003	7,6
01.10.2003	6,1
01.11.2003	5,2
01.12.2003	5,1
01.01.2004	5,3
01.02.2004	4,6
01.03.2004	5,0
01.04.2004	5,6
01.05.2004	6,8
01.06.2004	8,5
01.07.2004	10,2
01.08.2004	11,2
01.09.2004	8,3
01.10.2004	6,5
01.11.2004	5,4
01.12.2004	5,5
01.01.2005	5,3
01.02.2005	4,5
01.03.2005	5,1
01.04.2005	5,8
01.05.2005	6,7
01.06.2005	8,7
01.07.2005	10,5
01.08.2005	11,3
01.09.2005	8,9
01.10.2005	7,1
01.11.2005	5,9
01.12.2005	5,8
01.01.2006	5,8
01.02.2006	4,9
01.03.2006	5,7
01.04.2006	6,5
01.05.2006	7,2
01.06.2006	9,4
01.07.2006	11,3
01.08.2006	12,0
01.09.2006	9,8
01.10.2006	7,6
01.11.2006	6,7
01.12.2006	6,8
01.01.2007	7,1
01.02.2007	5,9
01.03.2007	6,9
01.04.2007	7,4
01.05.2007	8,4
01.06.2007	11,0
01.07.2007	13,0
01.08.2007	13,7
01.09.2007	11,6
01.10.2007	9,2
01.11.2007	8,3
01.12.2007	8,1
01.01.2008	8,2
01.02.2008	7,4
01.03.2008	8,6
01.04.2008	8,9
01.05.2008	10,4
01.06.2008	12,7
01.07.2008	14,2
01.08.2008	15,1
01.09.2008	12,3
01.10.2008	9,5
01.11.2008	8,0
01.12.2008	7,3
01.01.2009	6,9
01.02.2009	5,8
01.03.2009	6,7
01.04.2009	7,1
01.05.2009	8,8
01.06.2009	11,2
01.07.2009	12,9
01.08.2009	13,9
01.09.2009	11,9
01.10.2009	9,9
01.11.2009	8,7
01.12.2009	8,8
01.01.2010	9,2
01.02.2010	8,0
01.03.2010	9,6
01.04.2010	9,9
01.05.2010	11,9
01.06.2010	14,4
01.07.2010	16,6
01.08.2010	16,9
01.09.2010	14,8
01.10.2010	12,9
01.11.2010	11,3
01.12.2010	10,9
01.01.2011	11,2
01.02.2011	8,9
01.03.2011	10,4
01.04.2011	11,1
01.05.2011	13,3
01.06.2011	16,4
01.07.2011	18,8
01.08.2011	19,8
01.09.2011	17,3
01.10.2011	13,9
01.11.2011	12,9
01.12.2011	12,6
01.01.2012	12,8
01.02.2012	11,4
01.03.2012	12,9
01.04.2012	13,5
01.05.2012	15,2
01.06.2012	18,9
01.07.2012	21,5
01.08.2012	22,6
01.09.2012	20,3
01.10.2012	16,4
01.11.2012	15,2
01.12.2012	15,0
01.01.2013	15,5
01.02.2013	13,6
01.03.2013	16,3
01.04.2013	16,2
01.05.2013	18,6
01.06.2013	21,8
01.07.2013	24,2
01.08.2013	24,2
01.09.2013	21,3
01.10.2013	18,6
01.11.2013	16,8
01.12.2013	17,5
01.01.2014	16,5
01.02.2014	14,6
01.03.2014	16,7
01.04.2014	16,3
01.05.2014	19,0
01.06.2014	23,7
01.07.2014	26,4
01.08.2014	27,3
01.09.2014	23,4
01.10.2014	19,2
01.11.2014	17,3
