date	CPI_rog	IND_PROD_yoy	I_bln_rub	I_yoy	PROD_E_TWh	RETAIL_SALES_bln_rub	RETAIL_SALES_yoy	RUR_EUR_eop	RUR_USD_eop	TRANS_RAILLOAD_mln_t	TRANS_RAILLOAD_yoy	USLUGI_bln_rub	USLUGI_yoy	WAGE_rub	WAGE_yoy
year	CPI_rog	IND_PROD_yoy	I_bln_rub	I_yoy	PROD_E_TWh	RETAIL_SALES_bln_rub	RETAIL_SALES_yoy	RUR_EUR_eop	RUR_USD_eop	TRANS_RAILLOAD_mln_t	TRANS_RAILLOAD_yoy	USLUGI_bln_rub	USLUGI_yoy	WAGE_rub	WAGE_yoy
1999	136,5		670,4	105,3	846,0	1797,4	94,2	27,23	27,0	947,0	113,5	443,7	106,6	1523,0	144,8
2000	120,2		1165,2	117,4	878,0	2352,3	109,0	26,14	28,16	1047,0	110,5	602,8	104,7	2223,0	146,0
2001	118,6		1504,7	111,7	891,0	3070,0	111,0	26,49	30,14	1057,0	101,0	811,7	101,6	3240,0	145,7
2002	115,1	103,1	1762,4	102,9	891,0	3765,4	109,3	33,11	31,78	1084,0	102,5	1088,0	103,7	4360,0	134,6
2003	112,0	108,9	2186,4	112,7	916,0	4529,7	108,8	36,82	29,45	1161,0	107,1	1430,7	106,6	5499,0	126,1
2004	111,7	108,0	2865,0	116,8	932,0	5642,5	113,3	37,81	27,75	1221,0	105,2	1789,7	108,4	6740,0	122,6
2005	110,9	105,1	3611,1	110,2	953,0	7041,5	112,8	34,19	28,78	1273,0	104,3	2264,7	107,5	8555,0	126,9
2006	109,0	106,3	4730,0	117,8	996,0	8711,9	114,1	34,7	26,33	1311,0	102,9	2798,4	107,9	10634,0	124,3
2007	111,9	106,8	6716,2	123,8	1015,0	10869,0	116,1	35,93	24,55	1344,0	102,5	3407,0	107,1	13593,0	127,8
2008	113,3	100,6	8781,6	109,5	1040,0	13944,2	113,7	41,44	29,38	1304,0	97,0	4079,8	104,8	17290,0	127,2
2009	108,8	89,3	7976,0	86,5	992,0	14599,2	94,9	43,39	30,24	1108,0	85,0	4420,0	95,8	18638,0	107,8
2010	108,8	107,3	9152,1	106,3	1038,0	16512,0	106,5	40,33	30,48	1206,0	108,8	4851,0	101,5	20952,0	112,4
2011	106,1	105,0	11035,7	110,8	1052,0	19104,3	107,1	41,67	32,2	1242,0	103,0	5424,8	103,0	23369,0	111,5
2012	106,6	103,4	12586,1	106,8	1064,0	21394,5	106,3	40,23	30,37	1272,0	102,4	5926,2	103,7	26629,0	113,9
2013	106,5	100,4	13450,3	100,8	1051,0	23685,9	103,9	44,97	32,73	1237,0	97,2	6512,3	102,1	29792,0	111,9
2014	111,4	101,7	13527,7	97,3	1059,0	26356,2	102,7	68,34	56,26	1227,0	99,2	7302,3	101,3	32495,0	109,1
""
