date	year	month	CORP_DEBT_bln_rub	CORP_DEBT_overdue	CORP_DEBT_rog	CPI_rog	IND_PROD_rog	IND_PROD_yoy	IND_PROD_ytd	I_bln_rub	I_rog	I_yoy	PROD_E_TWh	RETAIL_SALES_bln_rub	RETAIL_SALES_rog	RETAIL_SALES_yoy	RUR_EUR_eop	RUR_USD_eop	TRANS_RAILLOAD_mln_t	TRANS_RAILLOAD_rog	TRANS_RAILLOAD_yoy	USLUGI_bln_rub	USLUGI_rog	USLUGI_yoy	WAGE_rog	WAGE_rub	WAGE_yoy
time_index	year	month	CORP_DEBT_bln_rub	CORP_DEBT_overdue	CORP_DEBT_rog	CPI_rog	IND_PROD_rog	IND_PROD_yoy	IND_PROD_ytd	I_bln_rub	I_rog	I_yoy	PROD_E_TWh	RETAIL_SALES_bln_rub	RETAIL_SALES_rog	RETAIL_SALES_yoy	RUR_EUR_eop	RUR_USD_eop	TRANS_RAILLOAD_mln_t	TRANS_RAILLOAD_rog	TRANS_RAILLOAD_yoy	USLUGI_bln_rub	USLUGI_rog	USLUGI_yoy	WAGE_rog	WAGE_rub	WAGE_yoy
1999-01-31	1999	1	2347,0	1241,1	100,9	108,4				28,5	42,5	92,2	84,7	121,8	81,7	84,0	25,79	22,6	70,4	97,0	101,4	28,7	80,5	105,2	78,7	1167,0	115,5
1999-02-28	1999	2	2387,3	1280,6	103,1	104,1				31,8	108,4	93,8	76,5	122,9	96,9	89,2	25,11	22,86	67,4	106,0	104,5	29,5	99,6	101,7	103,2	1199,0	120,0
1999-03-31	1999	3	2551,7	1321,8	103,2	102,8				36,5	111,2	95,1	81,3	134,3	106,0	91,4	25,94	24,18	77,3	103,6	105,6	32,4	107,9	105,7	114,8	1385,0	130,3
1999-04-30	1999	4	2651,3	1358,9	102,8	103,0				36,9	97,2	94,7	67,8	135,4	97,6	88,9	25,73	24,23	77,6	103,8	108,3	32,7	98,0	106,4	103,0	1423,0	136,4
1999-05-31	1999	5	2667,2	1366,3	100,5	102,2				41,4	109,2	99,2	62,3	138,9	100,2	89,7	25,52	24,44	79,3	98,9	113,0	32,8	98,1	106,5	103,4	1472,0	141,1
1999-06-30	1999	6	2699,7	1388,0	101,6	101,9				52,8	124,3	102,9	56,1	142,2	100,7	91,3	25,07	24,22	77,1	100,4	114,4	36,9	108,7	106,5	109,7	1626,0	145,6
1999-07-31	1999	7	2767,3	1404,8	101,2	102,8				56,2	102,6	102,1	55,8	145,8	100,0	89,2	25,94	24,19	80,4	100,9	117,4	39,1	102,8	108,8	99,6	1618,0	147,3
1999-08-31	1999	8	2780,6	1427,4	101,6	101,2				61,8	106,2	101,9	58,2	157,6	106,5	88,8	25,92	24,75	82,2	102,2	118,3	40,5	101,6	110,5	99,3	1608,0	153,1
1999-09-30	1999	9	2855,0	1416,9	99,3	101,5				67,6	104,1	111,1	63,3	161,2	100,5	92,2	26,46	25,08	81,4	102,3	122,9	41,4	100,2	110,6	104,6	1684,0	152,1
1999-10-31	1999	10	2905,4	1435,1	101,3	101,4				66,5	95,1	114,8	71,8	167,1	102,1	101,9	27,43	26,05	85,2	101,3	116,1	41,7	98,6	109,4	101,8	1716,0	153,6
1999-11-30	1999	11	2910,9	1416,3	98,7	101,2				72,0	104,3	112,1	80,8	170,2	100,5	101,9	26,84	26,42	82,2	99,7	120,7	42,3	99,7	106,3	104,2	1789,0	154,3
1999-12-31	1999	12	2900,8	1354,5	95,6	101,3				118,4	161,3	122,6	87,5	200,0	116,0	105,6	27,23	27,0	86,8	102,2	119,6	45,7	106,9	99,4	126,0	2283,0	155,1
2000-01-31	2000	1	2844,5	1351,1	99,8	102,3				46,1	37,4	107,9	88,9	170,3	83,3	107,6	28,23	28,55	81,2	93,5	115,3	39,8	78,2	106,8	82,8	1830,0	162,6
2000-02-29	2000	2	3063,6	1483,9	109,8	101,0				55,8	116,6	116,1	81,6	168,1	97,9	108,7	27,44	28,66	82,5	108,7	122,5	39,5	97,0	103,1	100,4	1839,0	158,1
2000-03-31	2000	3	3306,3	1577,0	106,3	100,6				63,9	110,8	115,7	81,9	179,3	105,9	108,4	27,13	28,46	89,6	101,6	115,9	43,6	109,1	103,4	109,6	2018,0	151,3
2000-04-30	2000	4	3336,9	1598,9	101,4	100,9				64,5	97,9	116,5	68,4	177,8	98,2	109,1	25,89	28,4	87,7	101,1	112,9	44,2	99,3	104,5	101,1	2039,0	147,9
2000-05-31	2000	5	3331,8	1602,2	100,2	101,8				75,8	114,4	122,1	65,2	179,8	99,6	108,4	26,19	28,25	88,1	97,3	111,1	44,9	100,6	105,5	102,9	2101,0	146,0
2000-06-30	2000	6	3429,3	1614,1	100,7	102,6				95,7	122,1	120,0	57,7	185,2	101,1	108,7	26,48	28,07	87,0	102,0	112,9	49,2	107,5	105,5	109,2	2294,0	145,8
2000-07-31	2000	7	3477,6	1647,1	102,0	101,8				99,1	100,0	116,9	58,7	190,2	101,4	110,2	25,92	27,8	85,8	95,5	106,8	52,8	103,8	105,9	100,6	2302,0	146,4
2000-08-31	2000	8	3424,5	1631,1	99,0	101,0				112,9	111,2	122,5	60,4	202,6	105,6	109,3	24,74	27,75	87,2	101,6	106,1	55,0	101,4	106,3	99,5	2289,0	146,3
2000-09-30	2000	9	3553,1	1631,9	100,1	101,3				118,3	101,7	119,6	64,5	205,6	100,1	108,8	24,42	27,75	86,2	102,2	105,9	55,1	97,4	103,4	103,4	2367,0	144,6
2000-10-31	2000	10	3566,4	1623,5	99,5	102,1				114,6	94,0	118,2	76,9	214,3	102,2	109,0	23,42	27,83	91,3	102,4	107,1	56,8	100,8	107,3	102,6	2425,0	145,6
2000-11-30	2000	11	3564,2	1611,3	99,2	101,5				123,0	104,6	118,5	83,4	220,5	101,4	109,9	23,88	27,85	89,7	101,6	109,2	58,4	101,1	106,7	103,4	2508,0	143,0
2000-12-31	2000	12	3515,0	1571,5	97,5	101,6				195,5	154,3	113,4	90,2	258,6	115,6	109,4	26,14	28,16	90,3	97,4	104,0	63,5	107,2	99,3	120,7	3025,0	136,3
2001-01-31	2001	1	3756,9	1588,8	101,1	102,8				66,7	35,7	109,4	90,6	214,4	81,2	106,6	26,0	28,37	82,1	91,0	101,2	54,9	82,3	104,7	90,8	2733,0	149,3
2001-02-28	2001	2	3919,5	1634,0	102,8	102,3				77,4	113,6	106,6	82,2	216,4	99,2	108,0	26,22	28,72	79,9	107,7	96,8	54,8	96,6	104,4	97,1	2655,0	144,4
2001-03-31	2001	3	4064,4	1625,6	99,5	101,9				86,2	109,8	105,6	83,3	234,4	106,7	108,9	25,29	28,74	91,7	103,6	102,3	59,0	105,0	100,6	111,8	2964,0	147,0
2001-04-30	2001	4	4118,0	1655,2	101,8	101,8				87,9	100,5	108,4	71,3	237,7	100,0	111,0	25,67	28,83	88,5	99,7	100,9	61,9	102,4	103,7	98,4	2923,0	144,3
2001-05-31	2001	5	4185,4	1656,9	100,1	101,8				106,1	119,1	112,8	64,7	244,0	101,1	112,8	24,87	29,09	89,3	97,7	101,3	63,5	101,2	104,5	104,5	3054,0	145,8
2001-06-30	2001	6	4232,2	1666,0	100,5	101,6				124,8	116,5	107,7	59,1	247,9	100,4	112,0	24,57	29,07	87,3	101,0	100,3	68,8	105,7	103,0	107,4	3284,0	144,3
2001-07-31	2001	7	4331,6	1715,6	103,0	100,5				127,7	101,3	109,1	60,1	250,5	100,9	111,4	25,6	29,27	88,9	98,6	103,6	72,2	103,3	102,4	102,4	3364,0	146,9
2001-08-31	2001	8	4287,4	1685,9	98,3	100,0				144,2	111,8	109,7	61,7	266,3	106,3	112,2	26,67	29,37	90,7	102,0	104,1	74,0	100,9	102,1	100,3	3376,0	148,4
2001-09-30	2001	9	4354,1	1671,4	99,1	100,6				149,2	102,7	110,8	64,4	266,5	99,6	111,6	26,86	29,39	89,1	101,5	103,3	73,1	96,3	101,1	100,7	3405,0	145,0
2001-10-31	2001	10	4340,0	1638,9	98,1	101,1				144,7	95,3	112,4	78,5	277,8	103,1	112,7	26,87	29,7	93,6	101,7	103,3	74,6	100,8	100,8	103,3	3515,0	145,6
2001-11-30	2001	11	4346,6	1639,0	100,0	101,4				150,2	102,5	110,2	82,5	283,8	100,9	112,2	26,52	29,9	90,4	99,7	100,7	75,5	99,9	99,2	101,8	3578,0	143,3
2001-12-31	2001	12	4230,7	1560,1	95,2	101,6				239,6	158,0	112,8	92,8	330,3	114,7	111,3	26,49	30,14	85,9	91,9	95,1	79,4	104,2	96,2	126,7	4541,0	150,9
2002-01-31	2002	1	4067,1	1447,2	92,8	103,1	92,7	103,7	103,7	78,1	32,0	100,1	89,3	270,9	80,4	110,2	26,55	30,69	77,6	90,4	94,5	75,6	88,9	103,8	83,2	3760,0	137,7
2002-02-28	2002	2	4265,4	1473,6	101,8	101,2	95,8	102,9	103,3	89,6	113,6	100,1	77,8	268,0	98,1	109,1	26,71	30,93	80,1	114,3	100,2	76,0	98,4	105,6	99,1	3725,0	140,7
2002-03-31	2002	3	4644,1	1516,6	102,9	101,1	108,8	102,6	103,1	102,4	113,4	103,4	80,0	289,1	107,3	109,7	27,15	31,12	90,3	101,8	98,5	80,5	103,3	104,1	108,3	4031,0	136,2
2002-04-30	2002	4	4675,3	1511,5	99,7	101,2	96,2	103,7	103,2	104,0	100,8	103,7	71,9	293,6	100,3	109,9	28,15	31,2	88,8	101,6	100,4	84,0	102,5	104,6	101,9	4110,0	140,7
2002-05-31	2002	5	4636,8	1502,7	99,4	101,7	95,5	99,5	102,5	125,1	118,7	103,3	64,6	291,9	97,8	106,4	29,33	31,31	91,0	99,2	101,9	85,2	100,6	104,1	101,8	4187,0	137,1
2002-06-30	2002	6	4908,3	1512,8	100,7	100,5	101,5	102,1	102,4	147,3	116,7	103,5	59,5	298,7	101,8	107,9	31,08	31,45	90,2	102,4	103,3	89,8	103,9	102,5	106,5	4460,0	135,9
2002-07-31	2002	7	4858,8	1504,0	99,4	100,7	104,7	105,6	102,9	152,2	101,9	104,1	60,8	311,1	103,6	110,7	30,8	31,44	93,1	100,0	104,7	94,2	103,4	102,7	102,9	4597,0	136,8
2002-08-31	2002	8	4840,5	1490,6	99,1	100,1	101,1	105,3	103,2	167,0	109,0	101,5	62,7	325,3	104,7	109,1	31,09	31,57	95,4	102,5	105,2	96,8	101,2	103,0	98,1	4511,0	133,7
2002-09-30	2002	9	4974,6	1478,4	99,2	100,4	99,6	104,3	103,3	175,3	104,0	102,8	66,3	327,1	100,4	110,0	30,91	31,64	93,3	101,0	104,7	97,3	97,6	104,4	100,2	4521,0	132,9
2002-10-31	2002	10	4937,3	1466,5	99,2	101,1	107,0	103,2	103,3	169,1	95,7	103,2	79,5	340,5	103,3	110,1	31,18	31,74	97,2	100,9	103,9	98,9	99,2	102,4	102,8	4646,0	132,4
