date	I_bln_rub	I_yoy	Uslugi_bln_rub	Uslugi_yoy
year	I_bln_rub	I_yoy	Uslugi_bln_rub	Uslugi_yoy
1999	670,4	105,3	443,7	106,6
2000	1165,2	117,4	602,8	104,7
2001	1504,7	111,7	811,7	101,6
2002	1762,4	102,9	1088,0	103,7
2003	2186,4	112,7	1430,7	106,6
2004	2865,0	116,8	1789,7	108,4
2005	3611,1	110,2	2264,7	107,5
2006	4730,0	117,8	2798,4	107,9
2007	6716,2	123,8	3407,0	107,1
2008	8781,6	109,5	4079,8	104,8
2009	7976,0	86,5	4420,0	95,8
2010	9152,1	106,3	4851,0	101,5
2011	11035,7	110,8	5424,8	103,0
2012	12586,1	106,8	5926,2	103,7
2013	13450,3	100,8	6512,3	102,1
2014	13527,7	97,3	7302,3	101,3
""
