date	year	month	I_bln_rub	I_rog	I_yoy	Uslugi_bln_rub	Uslugi_rog	Uslugi_yoy
time_index	year	month	I_bln_rub	I_rog	I_yoy	Uslugi_bln_rub	Uslugi_rog	Uslugi_yoy
1999-01-31	1999	1	28,5	42,5	92,2	28,7	80,5	105,2
1999-02-28	1999	2	31,8	108,4	93,8	29,5	99,6	101,7
1999-03-31	1999	3	36,5	111,2	95,1	32,4	107,9	105,7
1999-04-30	1999	4	36,9	97,2	94,7	32,7	98,0	106,4
1999-05-31	1999	5	41,4	109,2	99,2	32,8	98,1	106,5
1999-06-30	1999	6	52,8	124,3	102,9	36,9	108,7	106,5
1999-07-31	1999	7	56,2	102,6	102,1	39,1	102,8	108,8
1999-08-31	1999	8	61,8	106,2	101,9	40,5	101,6	110,5
1999-09-30	1999	9	67,6	104,1	111,1	41,4	100,2	110,6
1999-10-31	1999	10	66,5	95,1	114,8	41,7	98,6	109,4
1999-11-30	1999	11	72,0	104,3	112,1	42,3	99,7	106,3
1999-12-31	1999	12	118,4	161,3	122,6	45,7	106,9	99,4
2000-01-31	2000	1	46,1	37,4	107,9	39,8	78,2	106,8
2000-02-29	2000	2	55,8	116,6	116,1	39,5	97,0	103,1
2000-03-31	2000	3	63,9	110,8	115,7	43,6	109,1	103,4
2000-04-30	2000	4	64,5	97,9	116,5	44,2	99,3	104,5
2000-05-31	2000	5	75,8	114,4	122,1	44,9	100,6	105,5
2000-06-30	2000	6	95,7	122,1	120,0	49,2	107,5	105,5
2000-07-31	2000	7	99,1	100,0	116,9	52,8	103,8	105,9
2000-08-31	2000	8	112,9	111,2	122,5	55,0	101,4	106,3
2000-09-30	2000	9	118,3	101,7	119,6	55,1	97,4	103,4
2000-10-31	2000	10	114,6	94,0	118,2	56,8	100,8	107,3
2000-11-30	2000	11	123,0	104,6	118,5	58,4	101,1	106,7
2000-12-31	2000	12	195,5	154,3	113,4	63,5	107,2	99,3
2001-01-31	2001	1	66,7	35,7	109,4	54,9	82,3	104,7
2001-02-28	2001	2	77,4	113,6	106,6	54,8	96,6	104,4
2001-03-31	2001	3	86,2	109,8	105,6	59,0	105,0	100,6
2001-04-30	2001	4	87,9	100,5	108,4	61,9	102,4	103,7
2001-05-31	2001	5	106,1	119,1	112,8	63,5	101,2	104,5
2001-06-30	2001	6	124,8	116,5	107,7	68,8	105,7	103,0
2001-07-31	2001	7	127,7	101,3	109,1	72,2	103,3	102,4
2001-08-31	2001	8	144,2	111,8	109,7	74,0	100,9	102,1
2001-09-30	2001	9	149,2	102,7	110,8	73,1	96,3	101,1
2001-10-31	2001	10	144,7	95,3	112,4	74,6	100,8	100,8
2001-11-30	2001	11	150,2	102,5	110,2	75,5	99,9	99,2
2001-12-31	2001	12	239,6	158,0	112,8	79,4	104,2	96,2
2002-01-31	2002	1	78,1	32,0	100,1	75,6	88,9	103,8
2002-02-28	2002	2	89,6	113,6	100,1	76,0	98,4	105,6
2002-03-31	2002	3	102,4	113,4	103,4	80,5	103,3	104,1
2002-04-30	2002	4	104,0	100,8	103,7	84,0	102,5	104,6
2002-05-31	2002	5	125,1	118,7	103,3	85,2	100,6	104,1
2002-06-30	2002	6	147,3	116,7	103,5	89,8	103,9	102,5
2002-07-31	2002	7	152,2	101,9	104,1	94,2	103,4	102,7
2002-08-31	2002	8	167,0	109,0	101,5	96,8	101,2	103,0
2002-09-30	2002	9	175,3	104,0	102,8	97,3	97,6	104,4
2002-10-31	2002	10	169,1	95,7	103,2	98,9	99,2	102,4
2002-11-30	2002	11	174,3	102,3	102,9	101,3	100,6	102,8
2002-12-31	2002	12	278,0	158,4	103,2	108,4	106,1	104,5
2003-01-31	2003	1	93,8	33,5	107,9	101,1	90,3	105,9
2003-02-28	2003	2	110,6	117,0	111,1	102,7	98,8	106,5
2003-03-31	2003	3	125,6	113,2	110,9	108,9	104,7	108,0
2003-04-30	2003	4	129,9	102,3	112,6	111,5	100,9	106,5
2003-05-31	2003	5	158,8	121,2	114,9	113,5	100,4	106,7
2003-06-30	2003	6	181,9	113,6	111,8	119,2	103,6	106,7
2003-07-31	2003	7	185,8	101,5	111,4	125,8	102,8	106,1
2003-08-31	2003	8	204,8	109,3	111,6	124,6	98,0	102,7
2003-09-30	2003	9	216,9	104,7	112,4	127,4	101,5	106,8
2003-10-31	2003	10	209,6	95,8	112,5	128,4	99,9	107,5
2003-11-30	2003	11	216,2	102,4	112,6	128,8	100,0	106,7
2003-12-31	2003	12	352,5	161,8	115,0	138,8	106,6	107,2
2004-01-31	2004	1	124,1	35,0	117,5	126,9	89,3	105,8
2004-02-29	2004	2	149,9	119,1	119,6	128,6	100,2	107,1
2004-03-31	2004	3	168,2	111,8	118,1	137,9	106,5	109,0
2004-04-30	2004	4	170,7	100,4	116,0	140,2	99,8	107,8
2004-05-31	2004	5	209,2	120,8	115,7	141,2	99,5	107,0
2004-06-30	2004	6	246,4	116,4	118,6	148,8	104,5	108,0
2004-07-31	2004	7	236,8	94,9	110,9	155,9	103,7	109,3
2004-08-31	2004	8	270,5	112,8	114,4	157,7	100,2	112,0
2004-09-30	2004	9	276,0	100,8	110,1	159,9	100,7	111,1
2004-10-31	2004	10	264,9	94,2	108,2	158,7	97,2	107,8
2004-11-30	2004	11	290,9	108,5	114,7	160,9	100,3	108,1
2004-12-31	2004	12	457,4	156,3	110,8	173,1	106,3	107,6
2005-01-31	2005	1	148,1	32,0	103,5	151,5	82,8	101,3
2005-02-28	2005	2	184,5	123,3	107,2	157,5	102,3	102,9
2005-03-31	2005	3	207,9	112,3	107,7	172,6	108,5	104,9
2005-04-30	2005	4	212,6	101,5	108,9	178,7	102,8	107,5
2005-05-31	2005	5	250,6	116,4	104,9	183,8	102,1	110,6
2005-06-30	2005	6	313,1	123,4	111,1	192,1	103,5	109,6
2005-07-31	2005	7	306,5	97,0	113,6	198,2	102,2	108,1
2005-08-31	2005	8	336,8	108,3	109,1	200,7	100,5	108,5
2005-09-30	2005	9	350,3	103,2	111,7	200,8	98,9	106,5
2005-10-31	2005	10	332,4	93,8	111,3	200,6	98,9	108,2
2005-11-30	2005	11	382,5	114,3	117,2	207,2	102,4	110,5
2005-12-31	2005	12	585,8	152,3	114,2	221,0	105,6	109,1
2006-01-31	2006	1	176,3	30,0	106,6	190,1	82,1	107,9
2006-02-28	2006	2	217,5	121,5	105,0	195,5	101,7	107,0
2006-03-31	2006	3	264,6	121,6	113,7	214,4	108,6	107,1
2006-04-30	2006	4	267,8	100,7	112,8	218,1	101,1	105,6
2006-05-31	2006	5	340,6	125,7	121,9	228,1	103,9	107,5
2006-06-30	2006	6	409,2	119,3	117,8	243,2	105,8	110,0
2006-07-31	2006	7	381,5	92,1	111,8	246,4	100,6	108,3
