date	year	qtr	CPI_rog	IND_PROD_rog	IND_PROD_yoy	I_bln_rub	I_rog	I_yoy	PROD_E_TWh	RETAIL_SALES_bln_rub	RETAIL_SALES_rog	RETAIL_SALES_yoy	TRANS_RAILLOAD_mln_t	TRANS_RAILLOAD_rog	TRANS_RAILLOAD_yoy	USLUGI_bln_rub	USLUGI_rog	USLUGI_yoy	Uslugi_bln_rub	Uslugi_rog	Uslugi_yoy	WAGE_rog	WAGE_rub	WAGE_yoy
1999-03-31	1999	1	116,0			96,8		93,8	243,0	379,0	88,0	88,1	215,0	102,8	103,8	90,6	90,5	104,2	90,6	90,5	104,2	99,4	1248,0	123,0
1999-06-30	1999	2	107,3			131,1		99,2	186,0	416,5	100,8	90,0	234,0	107,6	111,8	102,4	104,5	106,5	102,4	104,5	106,5	121,1	1511,0	141,1
1999-09-30	1999	3	105,6			185,6		105,0	177,0	464,6	105,1	90,3	244,0	103,1	119,5	121,0	109,1	110,0	121,0	109,1	110,0	108,7	1642,0	151,5
1999-12-31	1999	4	103,9			256,9		117,4	240,0	537,3	110,6	103,1	254,0	104,2	118,8	129,7	101,4	104,7	129,7	101,4	104,7	117,4	1927,0	154,4
2000-03-31	2000	1	104,1			165,8		113,5	252,0	517,7	92,4	108,2	253,0	100,8	117,8	122,9	86,9	104,4	122,9	86,9	104,4	98,6	1899,0	157,1
2000-06-30	2000	2	105,3			236,0		119,6	191,0	542,8	101,3	108,7	263,0	103,7	112,3	138,3	107,1	105,1	138,3	107,1	105,1	113,1	2148,0	146,2
2000-09-30	2000	3	104,1			330,2		119,7	184,0	598,4	105,8	109,4	259,0	97,6	106,3	162,9	109,1	105,2	162,9	109,1	105,2	108,8	2336,0	148,0
2000-12-31	2000	4	105,4			433,2		116,1	251,0	693,4	110,5	109,4	272,0	104,7	106,7	178,7	102,8	104,1	178,7	102,8	104,1	113,5	2652,0	141,1
2001-03-31	2001	1	107,1			230,3		107,0	256,0	665,2	91,1	107,9	254,0	95,6	100,2	168,7	85,9	103,2	168,7	85,9	103,2	104,8	2781,0	146,6
2001-06-30	2001	2	105,3			318,8		109,5	195,0	729,6	105,0	111,9	265,0	103,3	100,9	194,2	107,5	103,7	194,2	107,5	103,7	110,8	3082,0	144,6
