date	year	qtr	I_bln_rub	I_rog	I_yoy	Uslugi_bln_rub	Uslugi_rog	Uslugi_yoy
time_index	year	qtr	I_bln_rub	I_rog	I_yoy	Uslugi_bln_rub	Uslugi_rog	Uslugi_yoy
1999-03-31	1999	1	96,8		93,8	90,6	90,5	104,2
1999-06-30	1999	2	131,1		99,2	102,4	104,5	106,5
1999-09-30	1999	3	185,6		105,0	121,0	109,1	110,0
1999-12-31	1999	4	256,9		117,4	129,7	101,4	104,7
2000-03-31	2000	1	165,8		113,5	122,9	86,9	104,4
2000-06-30	2000	2	236,0		119,6	138,3	107,1	105,1
2000-09-30	2000	3	330,2		119,7	162,9	109,1	105,2
2000-12-31	2000	4	433,2		116,1	178,7	102,8	104,1
2001-03-31	2001	1	230,3		107,0	168,7	85,9	103,2
2001-06-30	2001	2	318,8		109,5	194,2	107,5	103,7
2001-09-30	2001	3	421,1		109,9	219,3	106,9	101,9
2001-12-31	2001	4	534,5		111,9	229,5	99,9	98,7
2002-03-31	2002	1	270,1		101,3	232,1	91,3	104,5
2002-06-30	2002	2	376,4		103,5	259,0	106,1	103,7
2002-09-30	2002	3	494,5		102,7	288,3	106,3	103,4
2002-12-31	2002	4	621,4		103,1	308,6	100,3	103,2
2003-03-31	2003	1	330,0		110,1	312,7	94,8	106,8
2003-06-30	2003	2	470,6		113,1	344,2	105,3	106,6
2003-09-30	2003	3	607,5		111,8	377,8	104,5	105,2
2003-12-31	2003	4	778,3		113,7	396,0	102,5	107,1
2004-03-31	2004	1	442,2	55,5	118,4	393,4	95,3	107,3
2004-06-30	2004	2	626,3	137,2	116,9	430,2	105,3	107,6
2004-09-30	2004	3	783,3	120,6	111,8	473,5	107,0	110,8
2004-12-31	2004	4	1013,2	124,0	111,2	492,7	100,0	107,8
2005-03-31	2005	1	540,5	51,9	106,3	481,6	90,4	103,1
2005-06-30	2005	2	776,3	139,9	108,4	554,6	112,1	109,2
2005-09-30	2005	3	993,6	123,9	111,4	599,7	105,2	107,7
2005-12-31	2005	4	1300,7	127,2	114,3	628,8	101,9	109,2
2006-03-31	2006	1	658,4	49,6	108,8	600,0	89,2	107,3
2006-06-30	2006	2	1017,6	151,4	117,7	689,4	112,2	107,7
2006-09-30	2006	3	1287,3	122,1	116,1	739,9	105,2	107,9
2006-12-31	2006	4	1766,7	131,8	120,3	769,1	102,4	108,4
2007-03-31	2007	1	897,6	49,4	120,3	740,4	89,7	108,7
2007-06-30	2007	2	1414,4	152,6	121,3	842,5	110,5	107,0
2007-09-30	2007	3	1744,1	117,7	116,9	893,4	104,2	106,1
2007-12-31	2007	4	2660,1	144,9	128,5	930,7	103,1	106,9
2008-03-31	2008	1	1314,6	47,4	123,4	900,2	90,3	107,4
2008-06-30	2008	2	1991,5	145,4	117,6	1006,7	108,3	105,4
2008-09-30	2008	3	2369,0	112,4	112,3	1080,8	103,9	105,1
2008-12-31	2008	4	3106,5	127,4	98,7	1092,1	99,5	101,8
2009-03-31	2009	1	1224,3	39,4	82,0	1031,6	87,8	99,1
2009-06-30	2009	2	1722,1	140,3	79,1	1095,1	104,4	95,3
2009-09-30	2009	3	2061,0	116,9	82,3	1131,8	101,9	93,6
2009-12-31	2009	4	2968,6	140,5	90,7	1161,5	102,2	95,6
2010-03-31	2010	1	1242,9	41,3	95,2	1122,9	91,9	99,9
2010-06-30	2010	2	1962,5	155,6	105,6	1204,2	105,7	101,6
2010-09-30	2010	3	2361,5	116,6	105,3	1237,2	101,5	101,5
2010-12-31	2010	4	3585,2	148,2	111,1	1286,7	103,7	102,6
2011-03-31	2011	1	1422,0	38,7	103,9	1250,3	92,3	102,9
2011-06-30	2011	2	2306,0	161,0	107,8	1356,6	106,5	103,8
2011-09-30	2011	3	2854,1	120,6	111,3	1378,1	99,8	102,4
2011-12-31	2011	4	4453,6	153,0	114,8	1439,8	104,4	102,8
2012-03-31	2012	1	1730,1	38,3	113,9	1364,4	94,2	104,9
2012-06-30	2012	2	2730,5	156,3	110,6	1461,3	105,4	103,5
2012-09-30	2012	3	3225,0	115,1	105,5	1503,9	99,2	102,7
2012-12-31	2012	4	4900,5	149,7	103,2	1596,6	105,5	103,8
2013-03-31	2013	1	1905,4	38,1	102,5	1515,8	93,6	103,1
2013-06-30	2013	2	2918,7	152,8	100,2	1592,2	103,3	101,1
2013-09-30	2013	3	3402,9	114,4	99,7	1669,9	101,1	103,2
2013-12-31	2013	4	5223,3	151,9	101,1	1734,4	103,9	101,2
2014-03-31	2014	1	1863,8	35,7	94,7	1723,0	95,0	101,2
2014-06-30	2014	2	2942,0	158,2	98,1	1786,5	101,9	100,7
2014-09-30	2014	3	3447,6	114,9	98,5	1852,0	101,3	101,4
2014-12-31	2014	4	5274,3	149,9	97,2	1940,8	103,8	101,9
2015-03-31	2015	1	1969,7	35,5	96,4	1863,2	93,3	99,7
2015-06-30	2015	2	3020,8	152,8	93,3	1894,3	99,9	97,7
""
