date	year	qtr	I_bln_rub	I_rog	I_yoy
time_index	year	qtr	I_bln_rub	I_rog	I_yoy
1999-03-31	1999	1	96,8		93,8
1999-06-30	1999	2	131,1		99,2
1999-09-30	1999	3	185,6		105,0
1999-12-31	1999	4	256,9		117,4
2000-03-31	2000	1	165,8		113,5
2000-06-30	2000	2	236,0		119,6
2000-09-30	2000	3	330,2		119,7
2000-12-31	2000	4	433,2		116,1
2001-03-31	2001	1	230,3		107,0
2001-06-30	2001	2	318,8		109,5
2001-09-30	2001	3	421,1		109,9
2001-12-31	2001	4	534,5		111,9
2002-03-31	2002	1	270,1		101,3
2002-06-30	2002	2	376,4		103,5
2002-09-30	2002	3	494,5		102,7
2002-12-31	2002	4	621,4		103,1
2003-03-31	2003	1	330,0		110,1
2003-06-30	2003	2	470,6		113,1
2003-09-30	2003	3	607,5		111,8
2003-12-31	2003	4	778,3		113,7
2004-03-31	2004	1	442,2	55,5	118,4
2004-06-30	2004	2	626,3	137,2	116,9
2004-09-30	2004	3	783,3	120,6	111,8
2004-12-31	2004	4	1013,2	124,0	111,2
2005-03-31	2005	1	540,5	51,9	106,3
2005-06-30	2005	2	776,3	139,9	108,4
2005-09-30	2005	3	993,6	123,9	111,4
2005-12-31	2005	4	1300,7	127,2	114,3
2006-03-31	2006	1	658,4	49,6	108,8
2006-06-30	2006	2	1017,6	151,4	117,7
2006-09-30	2006	3	1287,3	122,1	116,1
2006-12-31	2006	4	1766,7	131,8	120,3
2007-03-31	2007	1	897,6	49,4	120,3
2007-06-30	2007	2	1414,4	152,6	121,3
2007-09-30	2007	3	1744,1	117,7	116,9
2007-12-31	2007	4	2660,1	144,9	128,5
2008-03-31	2008	1	1314,6	47,4	123,4
2008-06-30	2008	2	1991,5	145,4	117,6
2008-09-30	2008	3	2369,0	112,4	112,3
2008-12-31	2008	4	3106,5	127,4	98,7
2009-03-31	2009	1	1224,3	39,4	82,0
2009-06-30	2009	2	1722,1	140,3	79,1
2009-09-30	2009	3	2061,0	116,9	82,3
2009-12-31	2009	4	2968,6	140,5	90,7
2010-03-31	2010	1	1242,9	41,3	95,2
2010-06-30	2010	2	1962,5	155,6	105,6
2010-09-30	2010	3	2361,5	116,6	105,3
2010-12-31	2010	4	3585,2	148,2	111,1
2011-03-31	2011	1	1422,0	38,7	103,9
2011-06-30	2011	2	2306,0	161,0	107,8
2011-09-30	2011	3	2854,1	120,6	111,3
2011-12-31	2011	4	4453,6	153,0	114,8
2012-03-31	2012	1	1730,1	38,3	113,9
2012-06-30	2012	2	2730,5	156,3	110,6
2012-09-30	2012	3	3225,0	115,1	105,5
2012-12-31	2012	4	4900,5	149,7	103,2
2013-03-31	2013	1	1905,4	38,1	102,5
2013-06-30	2013	2	2918,7	152,8	100,2
2013-09-30	2013	3	3402,9	114,4	99,7
2013-12-31	2013	4	5223,3	151,9	101,1
2014-03-31	2014	1	1863,8	35,7	94,7
2014-06-30	2014	2	2942,0	158,2	98,1
2014-09-30	2014	3	3447,6	114,9	98,5
2014-12-31	2014	4	5274,3	149,9	97,2
2015-03-31	2015	1	1969,7	35,5	96,4
2015-06-30	2015	2	3020,8	152,8	93,3
""
