date	CONSTR_bln_rub_fix	CONSTR_yoy	CPI_rog	IND_PROD_yoy	I_bln_rub	I_yoy	PROD_AUTO_BUS_units	PROD_AUTO_PSGR_th	PROD_AUTO_TRUCKS_th	PROD_BYCYCLES_th	PROD_E_TWh	PROD_RAILWAY_CARGO_WAGONS_units	PROD_RAILWAY_PSGR_WAGONS_units	RETAIL_SALES_bln_rub	RETAIL_SALES_yoy	RUR_EUR_eop	RUR_USD_eop	SOC_EMPLOYED_mln	SOC_EMPLOYED_yoy	SOC_PENSION_rub	SOC_UNEMPLOYED_bln	SOC_UNEMPLOYMENT_percent	SOC_WAGE_rub	SOC_WAGE_yoy	TRANS_COM_bln_t_km	TRANS_COM_yoy	TRANS_RAILLOAD_mln_t	TRANS_RAILLOAD_yoy	TRANS_bln_t_km	TRANS_yoy	USLUGI_bln_rub	USLUGI_yoy
1999	307,8	103,9	136,5		670,4	105,3	50021	954	176,1	425	846	4140	716	1797,4	94,2	27,23	27	62,9	106,3	449	9,4	13	1523	144,8	3372	105,8	947	113,5	3461		443,7	106,6
2000	503,8	113,5	120,2		1165,2	117,4	54001	969	184,5	639	878	4029	802	2352,3	109	26,14	28,16	65	103,4	694,3	7,7	10,5	2223	146	3542	105	1047	110,5	3638	105,1	602,8	104,7
2001	703,8	110,4	118,6		1504,7	111,7	56506	1022	172,6	514	891	6518	859	3070	111	26,49	30,14	65,2	100,8	1023,5	6,4	9	3240	145,7	3651	103,1	1057	101	3754	103,2	811,7	101,6
2002	831	102,9	115,1	103,1	1762,4	102,9	66692	981	172,6	509	891	10740	867	3765,4	109,3	33,11	31,78	66,7	102,2	1378,5	5,8	8	4360	134,6	3868	106	1084	102,5	3976	105,9	1088	103,7
2003	1042,7	112,8	112	108,9	2186,4	112,7	76228	1012	192,9	415	916	26973	1025	4529,7	108,8	36,82	29,45	66,3	99,6	1637	5,9	8,2	5499	126,1	4171	107,8	1161	107,1	4282	107,7	1430,7	106,6
2004	1313,6	110,1	111,7	108	2865	116,8	75724	1110	200,2	344	932	35340	1211	5642,5	113,3	37,81	27,75	67,3	101,5	1914,5	5,6	7,7	6740	122,6	4441	106,5	1221	105,2	4558	106,4	1789,7	108,4
2005	1754,4	113,2	110,9	105,1	3611,1	110,2	78235	1069	205,1	236	953	35160	1221	7041,5	112,8	34,19	28,78	68,3	101,4	2364	5,3	7,1	8555	126,9	4550	102,4	1273	104,3	4675	102,5	2264,7	107,5
2006	2350,8	118,1	109	106,3	4730	117,8	88655	1178	245,3	1048	996	33656	1557	8711,9	114,1	34,7	26,33	69,2	101,3	2726,1	5,2	7	10634	124,3	4675	102,7	1311	102,9	4800	102,7	2798,4	107,9
2007	3293,3	118,2	111,9	106,8	6716,2	123,8	88862	1294	285	1513	1015	38575	1823	10869	116,1	35,93	24,55	70,7	102,2	3115,5	4,5	6	13593	127,8	4788	102,4	1344	102,5	4915	102,4	3407	107,1
2008	4528,1	112,8	113,3	100,6	8781,6	109,5	66477	1470	256	1435	1040	42681	2143	13944,2	113,7	41,44	29,38	71	100,3	4198,6	4,7	6,2	17290	127,2	4820	100,7	1304	97	4948	100,7	4079,8	104,8
2009	3998,3	86,8	108,8	89,3	7976	86,5	35483	600	91,4	388	992	23584	1384	14599,2	94,9	43,39	30,24	69,5	97,9	5191,1	6,2	8,2	18638	107,8	4344	90,1	1108	85	4446	89,9	4420	95,8
2010	4454,1	105	108,8	107,3	9152,1	106,3	40944	1210		1169	1038	50472	1234	16512	106,5	40,33	30,48	69,9	100,7	7476,3	5,5	7,3	20952	112,4	4645	106,9	1206	108,8	4752	106,9	4851	101,5
2011	5140,3	105,1	106,1	105	11035,7	110,8	44244	1740		1133	1052	62856	1205	19104,3	107,1	41,67	32,2	70,9	101,3	8202,9	4,9	6,5	23369	111,5	4799	103,3	1242	103	4914	103,4	5424,8	103
2012	5714,1	102,5	106,6	103,4	12586,1	106,8	57961	1964		1674	1064	71697	880	21394,5	106,3	40,23	30,37	71,5	101	9040,5	4,1	5,5	26629	113,9	4934	102,8	1272	102,4	5055	102,9	5926,2	103,7
2013	6019,5	100,1	106,5	100,4	13450,3	100,8	53237	1924		2014	1051	60121	760	23685,9	103,9	44,97	32,73	71,4	99,8	9917,5	4,1	5,5	29792	111,9	4958	100,5	1237	97,2	5084	100,6	6512,3	102,1
2014	5981,7	95,5	111,4	101,7	13527,7	97,3	43208	1740		1763	1059	54519	853	26356,2	102,7	68,34	56,26	71,5	100,2	10786,1	3,9	5,2	32495	109,1	4955	99,9	1231	99,2	5080	99,9	7302,3	101,3

