date	year	month	CORP_DEBT_bln_rub	CORP_DEBT_overdue	CORP_DEBT_rog	CPI_rog	IND_PROD_rog	IND_PROD_yoy	IND_PROD_ytd	I_bln_rub	I_rog	I_yoy	PROD_AUTO_BUS_units	PROD_AUTO_PSGR_th	PROD_AUTO_TRUCKS_th	PROD_E_TWh	PROD_TRANS_rog	PROD_TRANS_rytd	PROD_TRANS_yoy	PROD_rog	PROD_rytd	PROD_yoy	RETAIL_SALES_bln_rub	RETAIL_SALES_rog	RETAIL_SALES_yoy	RUR_EUR_eop	RUR_USD_eop	TRANS_COM_bln t-km	TRANS_COM_rog	TRANS_COM_yoy	TRANS_RAILLOAD_mln_t	TRANS_RAILLOAD_rog	TRANS_RAILLOAD_yoy	TRANS_bln t-km	TRANS_rog	TRANS_yoy	USLUGI_bln_rub	USLUGI_rog	USLUGI_yoy	Uslugi_bln_rub	Uslugi_rog	Uslugi_yoy	WAGE_rog	WAGE_rub	WAGE_yoy
1999-01-31	1999	1	2347,0	1241,1	100,9	108,4				28,5	42,5	92,2	4394,0	68,8	11,5	84,7							121,8	81,7	84,0	25,79	22,6	277,7	98,8	99,7	70,4	97,0	101,4	283,3	###		28,7	80,5	105,2	28,7	80,5	105,2	78,7	1167,0	115,5
1999-02-28	1999	2	2387,3	1280,6	103,1	104,1				31,8	108,4	93,8	4780,0	79,1	14,0	76,5							122,9	96,9	89,2	25,11	22,86	252,1	90,8	100,2	67,4	106,0	104,5	258,8	91,3		29,5	99,6	101,7	29,5	99,6	101,7	103,2	1199,0	120,0
1999-03-31	1999	3	2551,7	1321,8	103,2	102,8				36,5	111,2	95,1	5312,0	82,5	14,1	81,3							134,3	106,0	91,4	25,94	24,18	291,4	115,6	102,8	77,3	103,6	105,6	299,2	115,6		32,4	107,9	105,7	32,4	107,9	105,7	114,8	1385,0	130,3
1999-04-30	1999	4	2651,3	1358,9	102,8	103,0				36,9	97,2	94,7	5201,0	83,9	14,9	67,8							135,4	97,6	88,9	25,73	24,23	277,1	95,1	104,3	77,6	103,8	108,3	283,8	94,8		32,7	98,0	106,4	32,7	98,0	106,4	103,0	1423,0	136,4
1999-05-31	1999	5	2667,2	1366,3	100,5	102,2				41,4	109,2	99,2	3420,0	77,1	13,8	62,3							138,9	100,2	89,7	25,52	24,44	282,1	101,8	109,1	79,3	98,9	113,0	289,1	101,9		32,8	98,1	106,5	32,8	98,1	106,5	103,4	1472,0	141,1
1999-06-30	1999	6	2699,7	1388,0	101,6	101,9				52,8	124,3	102,9	3792,0	82,4	14,6	56,1							142,2	100,7	91,3	25,07	24,22	271,9	96,4	106,3	77,1	100,4	114,4	279,7	96,8		36,9	108,7	106,5	36,9	108,7	106,5	109,7	1626,0	145,6
1999-07-31	1999	7	2767,3	1404,8	101,2	102,8				56,2	102,6	102,1	4221,0	86,4	14,9	55,8							145,8	100,0	89,2	25,94	24,19	276,2	101,6	107,0	80,4	100,9	117,4	284,2	101,6		39,1	102,8	108,8	39,1	102,8	108,8	99,6	1618,0	147,3
1999-08-31	1999	8	2780,6	1427,4	101,6	101,2				61,8	106,2	101,9	3679,0	76,2	15,1	58,2							157,6	106,5	88,8	25,92	24,75	281,2	101,8	108,9	82,2	102,2	118,3	289,8	101,9		40,5	101,6	110,5	40,5	101,6	110,5	99,3	1608,0	153,1
1999-09-30	1999	9	2855,0	1416,9	99,3	101,5				67,6	104,1	111,1	3400,0	80,6	14,3	63,3							161,2	100,5	92,2	26,46	25,08	275,2	97,9	111,2	81,4	102,3	122,9	283,9	98,0		41,4	100,2	110,6	41,4	100,2	110,6	104,6	1684,0	152,1
1999-10-31	1999	10	2905,4	1435,1	101,3	101,4				66,5	95,1	114,8	2995,0	71,9	15,4	71,8							167,1	102,1	101,9	27,43	26,05	292,8	106,4	106,1	85,2	101,3	116,1	301,0	106,1		41,7	98,6	109,4	41,7	98,6	109,4	101,8	1716,0	153,6
1999-11-30	1999	11	2910,9	1416,3	98,7	101,2				72,0	104,3	112,1	4028,0	79,8	16,4	80,8							170,2	100,5	101,9	26,84	26,42	288,9	98,7	106,5	82,2	99,7	120,7	295,9	98,3		42,3	99,7	106,3	42,3	99,7	106,3	104,2	1789,0	154,3
1999-12-31	1999	12	2900,8	1354,5	95,6	101,3				118,4	161,3	122,6	4799,0	86,3	17,1	87,5							200,0	116,0	105,6	27,23	27,0	305,6	105,8	108,8	86,8	102,2	119,6	312,6	105,6		45,7	106,9	99,4	45,7	106,9	99,4	126,0	2283,0	155,1
2000-01-31	2000	1	2844,5	1351,1	99,8	102,3				46,1	37,4	107,9	3941,0	71,9	13,4	88,9							170,3	83,3	107,6	28,23	28,55	296,6	97,1	106,8	81,2	93,5	115,3	302,9	96,9	106,9	39,8	78,2	106,8	39,8	78,2	106,8	82,8	1830,0	162,6
