date	year	qtr	CONSTR_bln_rub_fix	CONSTR_rog	CONSTR_yoy	CPI_rog	IND_PROD_rog	IND_PROD_yoy	I_bln_rub	I_rog	I_yoy	PROD_AUTO_BUS_units	PROD_AUTO_PSGR_th	PROD_AUTO_TRUCKS_th	PROD_BYCYCLES_th	PROD_E_TWh	PROD_RAILWAY_CARGO_WAGONS_units	PROD_RAILWAY_PSGR_WAGONS_units	RETAIL_SALES_bln_rub	RETAIL_SALES_rog	RETAIL_SALES_yoy	SOC_EMPLOYED_mln	SOC_EMPLOYED_yoy	SOC_PENSION_rub	SOC_UNEMPLOYED_bln	SOC_UNEMPLOYMENT_percent	SOC_WAGE_rog	SOC_WAGE_rub	SOC_WAGE_yoy	TRANS_COM_bln_t_km	TRANS_COM_rog	TRANS_COM_yoy	TRANS_RAILLOAD_mln_t	TRANS_RAILLOAD_rog	TRANS_RAILLOAD_yoy	TRANS_bln_t_km	TRANS_rog	TRANS_yoy	USLUGI_bln_rub	USLUGI_rog	USLUGI_yoy
1999-03-31	1999	1	50,9	80,5	92	116			96,8		93,8	14486	230	39,6	92,4	243	1051	143	379	88	88,1	61,1	102,4	403,1	10,2	14,3	99,4	1248	123	821	99,2	100,9	215	102,8	103,8	841,3			90,6	90,5	104,2
1999-06-30	1999	2	69,1	130,1	93,8	107,3			131,1		99,2	12413	243	43,3	125	186	1133	169	416,5	100,8	90	62,9	106,2	438	9,4	13	121,1	1511	141,1	831	101,2	106,5	234	107,6	111,8	852,6	101,3		102,4	104,5	106,5
1999-09-30	1999	3	91,4	120,5	104,3	105,6			185,6		105	11300	243	44,3	112	177	1085	194	464,6	105,1	90,3	63,9	108,8	455,5	8,9	12,3	108,7	1642	151,5	833	100,2	109	244	103,1	119,5	857,9	100,6		121	109,1	110
1999-12-31	1999	4	96,4	92,8	117,1	103,9			256,9		117,4	11822	238	48,9	95,6	240	871	210	537,3	110,6	103,1	63,6	107,6	499,5	9,1	12,5	117,4	1927	154,4	887	106,5	107,1	254	104,2	118,8	909,6	106		129,7	101,4	104,7
2000-03-31	2000	1	78,8	76,3	111,1	104,1			165,8		113,5	12191	239	45,2	144	252	1075	182	517,7	92,4	108,2	63,6	104,1	582,6	8,8	12,1	98,6	1899	157,1	886	99,9	107,9	253	100,8	117,8	907,8	99,8	107,9	122,9	86,9	104,4
2000-06-30	2000	2	113,6	136,1	116,2	105,3			236		119,6	13713	238	46,4	191	191	1241	193	542,8	101,3	108,7	65,6	104,3	667,1	7,7	10,4	113,1	2148	146,2	867	97,8	104,3	263	103,7	112,3	889,4	98	104,3	138,3	107,1	105,1
2000-09-30	2000	3	151,7	117,6	113,4	104,1			330,2		119,7	14173	255	47	135	184	796	190	598,4	105,8	109,4	65,8	103	729,7	7,2	9,9	108,8	2336	148	868	100,1	104,2	259	97,6	106,3	895,8	100,7	104,4	162,9	109,1	105,2
2000-12-31	2000	4	159,7	92,5	112,9	105,4			433,2		116,1	13924	237	45,9	169	251	917	237	693,4	110,5	109,4	65,2	102,5	797,9	7,1	9,8	113,5	2652	141,1	921	106,1	103,8	272	104,7	106,7	945,3	105,5	103,9	178,7	102,8	104,1
2001-03-31	2001	1	116,9	72,6	107,4	107,1			230,3		107	11419	246	40,6	148	256	926	191	665,2	91,1	107,9	64,3	101,6	880,3	7	9,8	104,8	2781	146,6	893	96,9	100,8	254	95,6	100,2	914,9	96,8	100,8	168,7	85,9	103,2
2001-06-30	2001	2	160,9	135	106,6	105,3			318,8		109,5	12232	251	39,4	170	195	1407	206	729,6	105	111,9	65,3	100,5	984,1	6,2	8,7	110,8	3082	144,6	904	101,3	104,3	265	103,3	100,9	927,8	101,4	104,3	194,2	107,5	103,7
2001-09-30	2001	3	210,9	122,6	111,1	101,1			421,1		109,9	16176	260	43,1	121	186	1737	245	783,3	105,7	111,7	65,8	100,7	1093,6	6,2	8,5	110,1	3393	147,9	902	99,8	103,9	268	100,3	103,7	932,3	100,5	104,1	219,3	106,9	101,9
2001-12-31	2001	4	215,1	95,1	114,3	104,1			534,5		111,9	16679	265	49,5	74,5	254	2448	217	891,9	110,8	111,9	65,3	100,5	1136,2	6,2	8,7	114,1	3872	146,5	952	105,5	103,4	270	100,4	99,5	978,6	105	103,5	229,5	99,9	98,7
2002-03-31	2002	1	136,3	65,3	102,7	105,4	94	103,1	270,1		101,3	17021	249	38,7	126	247	2122	147	828	89,2	109,6	65,8	102,2	1297,7	6	8,4	99,1	3836	138	937	98,5	105	248	93,9	97,7	961,1	98,2	105,1	232,1	91,3	104,5
2002-06-30	2002	2	188,8	135,6	103,2	103,4	97,7	101,8	376,4		103,5	14624	262	41,8	162	196	2206	233	884,2	103,4	108	66,8	102	1334,4	5,6	7,7	111	4257	138,1	951	101,5	105,2	270	107,7	101,8	976,2	101,6	105,2	259	106,1	103,7
2002-09-30	2002	3	251,2	121,9	102,6	101,2	104,7	105,1	494,5		102,7	16982	275	44,4	128	190	2958	250	963,5	107,5	109,9	67,7	102,9	1420,2	5,5	7,4	106,8	4547	134,5	965	101,5	107	282	103,3	104,9	997,2	102,2	107	288,3	106,3	103,4
2002-12-31	2002	4	254,7	95,5	103	104,3	106,8	102,7	621,4		103,1	18065	195	47,7	92,5	258	3454	237	1089,7	110,6	109,6	66,4	101,6	1461,7	6,3	8,6	110,4	5018	129,9	1015	105,1	106,6	284	100,7	105,2	1041,7	104,5	106,4	308,6	100,3	103,2
